# PJM summer 5CP peaks: RTO 5 coincident peak hours + zonal unrestricted MW
# Source: annual "Summer YYYY Peaks and 5CPs" PDF, PJM Planning > Resource
#   Adequacy > Load Forecast, e.g.
#   https://www.pjm.com/-/media/DotCom/planning/res-adeq/load-forecast/summer-2024-peaks-and-5cps.pdf
# Summers 2018-2020 were removed from pjm.com; source_url points to the
#   Wayback Machine archive of the original posting.
#
# MAINTENANCE: To add a new summer (~mid-October posting):
# 1. Download the PDF; record URL in source_url and the posting date in source_as_of.
# 2. Transcribe the 5 RTO peak rows (date, hour-ending EPT, RTO unrestricted MW)
#    with zone=RTO, ranks 1-5 by descending MW.
# 3. Transcribe the "Coincident Peaks, By Zone" table: one row per zone per rank,
#    normalizing labels to canonical zones (AE->AECO, DAYTON->DAY, DLCo->DUQ,
#    PENLC->PENELEC, PPL-EU->PPL, PS->PSEG; see data/pjm/README.md crosswalk).
#    Sub-zone rows (EASTON, SMECO, Vineland) and OVEC are excluded.
# 4. Run: just validate. 5. Commit. 6. just upload.
#
# MAINTENANCE: November revisions — PJM reposts the PDF with restated load-drop
# add-backs ("Revised MM/DD/YYYY"). Timestamps rarely change; MW values do.
# Update mw_unrestricted in place, bump source_as_of, note "Nov revision" in
# notes. Git history is the revision trail. Re-run validate + upload.
summer_year,rank,peak_date,hour_ending_ept,zone,mw_unrestricted,source_url,source_as_of,notes
2018,1,2018-08-28,17,RTO,150453.8,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,AECO,2496.6,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,AEP,22003.5,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,APS,8530.6,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,ATSI,12727.4,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,BGE,6419.7,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,COMED,19442.0,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,DAY,3244.0,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,DEOK,5002.7,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,DOM,18714.3,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,DPL,3863.9,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,DUQ,2708.2,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,EKPC,1892.6,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,JCPL,5935.6,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,METED,2941.4,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,PECO,8255.2,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,PENELEC,2923.7,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,PEPCO,5992.5,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,PPL,7019.6,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,PSEG,9734.9,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,RECO,405.2,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,1,2018-08-28,17,UGI,200.2,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,RTO,148285.2,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,AECO,2382.9,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,AEP,22272.8,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,APS,8600.3,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,ATSI,12196.1,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,BGE,6349.1,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,COMED,19709.8,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,DAY,3289.0,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,DEOK,5125.6,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,DOM,18163.2,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,DPL,3737.4,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,DUQ,2729.2,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,EKPC,1965.3,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,JCPL,5561.1,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,METED,2871.5,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,PECO,8086.1,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,PENELEC,2921.8,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,PEPCO,5529.6,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,PPL,6770.5,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,PSEG,9461.6,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
2018,2,2018-09-04,17,RECO,380.5,https://web.archive.org/web/20210625122746/https://www.pjm.com/-/media/planning/res-adeq/load-forecast/20181017-summer-2018-peaks-and-5cps.ashx,2018-11-29,Revised 11/29/2018
