# PJM RPM capacity prices: BRA Resource Clearing Prices + Final Zonal Capacity Prices
# Sources: per-DY Excel files on https://pjm.com/markets-and-operations/rpm.aspx
#   - "<DY> Final Zonal UCAP Obligations, Capacity Prices and CTR Credit Rates" (XLS;
#     for DY 2023/24+ the FZSF-FZCP sheet ships inside the "<DY> 3IA Results" XLSX)
#     -> final_zonal_capacity_price_per_mw_day (one value per zone)
#   - "<DY> Base Residual Auction Results" report (XLS/PDF)
#     -> bra_price_per_mw_day (one value per LDA; copy down to each member zone)
#
# Zones are canonical labels (see data/pjm/README.md crosswalk). UGI is not
# separately reported in the RPM zonal files (inside the PPL LDA); OVEC is
# excluded (no retail LSE load; reported only from DY 2022/23).
#
# MAINTENANCE: To add a new delivery year:
# 1. Download both files for the DY from the RPM page (URLs change per DY;
#    record the Final Zonal XLS URL in source_url).
# 2. Add one row per transmission zone (canonical labels; see data/pjm/README.md
#    crosswalk). Set lda to the most-specific LDA that cleared separately for
#    that zone; zones at the system price get lda=RTO.
# 3. Set final_price_as_of to the XLS publication/revision date.
# 4. Run: just validate. 5. Commit. 6. just upload.
#
# MAINTENANCE: IA true-ups — when an Incremental Auction changes a DY's Final
# Zonal Capacity Price, update the affected rows in place, bump
# final_price_as_of, note the IA in notes. Git history is the revision trail.
delivery_year,dy_start,dy_end,zone,lda,bra_price_per_mw_day,final_zonal_capacity_price_per_mw_day,source_url,final_price_as_of,notes
2018/19,2018-06-01,2019-05-31,AECO,EMAAC,225.42,225.914062,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,AEP,RTO,164.77,164.704537,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,APS,RTO,164.77,164.704537,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,ATSI,RTO,164.77,164.704537,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,BGE,RTO,164.77,158.203169,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,COMED,COMED,215.00,213.913458,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,DAY,RTO,164.77,164.704537,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,DEOK,RTO,164.77,164.704537,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,DOM,RTO,164.77,164.704537,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,DPL,EMAAC,225.42,226.222949,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,DUQ,RTO,164.77,164.704537,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,EKPC,RTO,164.77,164.704537,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,JCPL,EMAAC,225.42,225.914062,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,METED,RTO,164.77,164.704537,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,PECO,EMAAC,225.42,225.914062,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,PENELEC,RTO,164.77,164.704537,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,PEPCO,RTO,164.77,156.904630,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
2018/19,2018-06-01,2019-05-31,PPL,RTO,164.77,155.114657,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2018-2019-final-zonal-ucap-obligations-capacity-prices-ctr-credit-rates.xlsx,2024-12-12,CP resource clearing price (CP/base transition DY)
