bldg_id,tariff_key
335511,ct_eversource_rate1_proposed
338527,ct_eversource_rate1_proposed
347846,ct_eversource_rate1_proposed
358270,ct_eversource_rate1_proposed
365114,ct_eversource_rate1_proposed
368774,ct_eversource_rate1_proposed
370969,ct_eversource_rate1_proposed
386117,ct_eversource_rate1_proposed
392014,ct_eversource_rate1_proposed
407848,ct_eversource_rate1_proposed
233255,ct_eversource_rate1_proposed
363729,ct_eversource_rate1_proposed
431483,ct_eversource_rate1_proposed
435727,ct_eversource_rate1_proposed
438705,ct_eversource_rate1_proposed
451447,ct_eversource_rate1_proposed
521719,ct_eversource_rate1_proposed
538815,ct_eversource_rate1_proposed
543573,ct_eversource_rate1_proposed
549806,ct_eversource_rate1_proposed
89983,ct_eversource_rate1_proposed
104498,ct_eversource_rate1_proposed
113670,ct_eversource_rate1_proposed
278202,ct_eversource_rate1_proposed
240613,ct_eversource_rate1_proposed
195409,ct_eversource_rate1_proposed
255015,ct_eversource_rate1_proposed
247090,ct_eversource_rate1_proposed
344139,ct_eversource_rate1_proposed
147706,ct_eversource_rate1_proposed
249989,ct_eversource_rate1_proposed
257990,ct_eversource_rate1_proposed
467445,ct_eversource_rate1_proposed
523423,ct_eversource_rate1_proposed
43941,ct_eversource_rate1_proposed
78995,ct_eversource_rate1_proposed
96534,ct_eversource_rate1_proposed
130227,ct_eversource_rate1_proposed
289326,ct_eversource_rate1_proposed
305372,ct_eversource_rate1_proposed
309750,ct_eversource_rate1_proposed
365579,ct_eversource_rate1_proposed
154304,ct_eversource_rate1_proposed
484832,ct_eversource_rate1_proposed
113353,ct_eversource_rate1_proposed
30403,ct_eversource_rate1_proposed
291,ct_eversource_rate1_proposed
442306,ct_eversource_rate1_proposed
448734,ct_eversource_rate1_proposed
64829,ct_eversource_rate1_proposed
95248,ct_eversource_rate1_proposed
122797,ct_eversource_rate1_proposed
364713,ct_eversource_rate1_proposed
311915,ct_eversource_rate1_proposed
438432,ct_eversource_rate1_proposed
524903,ct_eversource_rate1_proposed
530368,ct_eversource_rate1_proposed
339367,ct_eversource_rate1_proposed
113716,ct_eversource_rate1_proposed
386939,ct_eversource_rate1_proposed
531839,ct_eversource_rate1_proposed
152443,ct_eversource_rate1_proposed
81315,ct_eversource_rate1_proposed
359410,ct_eversource_rate1_proposed
258689,ct_eversource_rate1_proposed
460731,ct_eversource_rate1_proposed
106008,ct_eversource_rate1_proposed
36577,ct_eversource_rate1_proposed
29960,ct_eversource_rate1_proposed
40980,ct_eversource_rate1_proposed
384795,ct_eversource_rate1_proposed
380642,ct_eversource_rate1_proposed
372222,ct_eversource_rate1_proposed
200967,ct_eversource_rate1_proposed
362768,ct_eversource_rate1_proposed
386656,ct_eversource_rate1_proposed
411184,ct_eversource_rate1_proposed
