rate,effective_date,season,min_psig,max_psig,min_therms,max_therms,start,end,determinant,charge_type,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
demand charge,12/01/2024,,,,,,,,,"",per ccf of maximum daily demand,0.9726,0.9726,0.9726,0.9726,0.9726,0.9726,0.9726,0.9726,0.9726,0.9726,0.9726,0.9726
ser charge,04/01/2026,,,,,,,,,"",per ccf of maximum daily demand,0.2103,0.2103,0.2103,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136
distribution integrity management program,05/01/2026,,,,,,,,,"",per ccf of maximum daily demand,0.2245,0.2245,0.2245,0.2245,0.2626,0.2626,0.2626,0.2626,0.2626,0.2626,0.2626,0.2626
cam charge,03/01/2026,,,,,,,,,,per ccf,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046
decoupling charge,04/01/2026,,,,,,,,,,per ccf,0.0618247,0.0618247,0.0618247,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573
purchased gas adjustment,06/01/2026,,,,,,,,,,per ccf,0.607,0.7063,0.7583,0.6019,0.4457,0.3683,0.3683,0.3683,0.4146,0.4234,0.5998,0.6363
sales services charge,12/01/2024,,,,,,,,,,per ccf,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233
delivery charge,12/01/2024,,,,,,,400.0,ccf,,per ccf,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214
delivery charge,12/01/2024,,,,,,401.0,,ccf,,per ccf,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776
customer charge,05/01/2022,,,,,,,,,,per month,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
daily demand metering charge,12/01/2024,,,,,,,,,,per month,16.94,16.94,16.94,16.94,16.94,16.94,16.94,16.94,16.94,16.94,16.94,16.94
