rate,effective_date,season,min_psig,max_psig,min_therms,max_therms,start,end,determinant,charge_type,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
demand charge,12/01/2024,,,,,,,,,"",per ccf of maximum daily demand,0.4811,0.4811,0.4811,0.4811,0.4811,0.4811,0.4811,0.4811,0.4811,0.4811,0.4811,0.4811
distribution integrity management program,05/01/2026,,,,,,,,,"",per ccf of maximum daily demand,0.3714,0.3714,0.3714,0.3714,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
system expansion reconciliation,04/01/2026,,,,,,,,,"",per ccf of maximum daily demand,0.1945,0.1945,0.1945,0.1747,0.1747,0.1747,0.1747,0.1747,0.1747,0.1747,0.1747,0.1747
conservation adjustment mechanism,03/01/2026,,,,,,,,,,per ccf,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046
decoupling mechanism,04/01/2026,,,,,,,,,,per ccf,0.0317356,0.0317356,0.0317356,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152
purchased gas adjustment,06/01/2026,,,,,,,,,,per ccf,0.5888,0.6826,0.7384,0.6335,0.4755,0.4753,0.3981,0.3981,0.4685,0.4765,0.5846,0.6179
sales services charge,12/01/2024,,,,,,,,,,per ccf,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
delivery charge,12/01/2024,,,,,,,400.0,ccf,,per ccf,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841
delivery charge,12/01/2024,,,,,,401.0,,ccf,,per ccf,0.1641,0.1641,0.1641,0.1641,0.1641,0.1641,0.1641,0.1641,0.1641,0.1641,0.1641,0.1641
customer charge,05/01/2022,,,,,,,,,,per month,53.49,53.49,53.49,53.49,53.49,53.49,53.49,53.49,53.49,53.49,53.49,53.49
daily demand metering charge,12/01/2024,,,,,,,,,,per month,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99
