rate,effective_date,season,start,end,determinant,charge_type,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
system expansion reconciliation,04/01/2026,,,,,,per ccf,0.0436,0.0436,0.0436,0.0432,0.0432,0.0432,0.0432,0.0432,0.0432,0.0432,0.0432,0.0432
gas system improvement charge,04/01/2026,,,,,,per ccf,0.0973,0.0973,0.0973,0.1364,0.1364,0.1364,0.1364,0.1364,0.1364,0.1364,0.1364,0.0226
revenue adjustment mechanism,04/01/2026,,,,,,per ccf,0.0361,0.0361,0.0361,0.0424,0.0424,0.0424,0.0424,0.0424,0.0424,0.0424,0.0424,0.0424
conservation adjustment mechanism,04/01/2022,,,,,,per ccf,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046
sales services charge,04/01/2026,,,,,,per ccf,0.0643,0.0643,0.0643,0.0643,0.0643,0.0643,0.0643,0.0643,0.0643,0.0643,0.0643,0.0605
purchased gas adjustment,08/01/2026,,,,,,per ccf,0.603,0.629,0.6297,0.6299,0.5806,0.6335,0.6132,0.611,0.7236,0.7625,0.764,0.8056
distribution integrity management program,04/01/2026,,,,,,per ccf,,,,,,,,,,,,
delivery charge,04/01/2026,,,30.0,ccf,,per ccf,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,1.3655
delivery charge,04/01/2026,,31.0,,ccf,,per ccf,0.6345,0.6345,0.6345,0.6345,0.6345,0.6345,0.6345,0.6345,0.6345,0.6345,0.6345,0.9742
customer service charge,12/01/2025,,,,,,per month,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,20.0
