rate,effective_date,season,min_psig,max_psig,start,end,determinant,charge_type,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
demand charge,04/01/2026,,,,,,,"",per billing demand ccf,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.7052
system expansion reconciliation,04/01/2026,,,,,,,"",per billing demand ccf,0.2487,0.2487,0.2487,0.2411,0.2411,0.2411,0.2411,0.2411,0.2411,0.2411,0.2411,0.2411
sales services demand charge,04/01/2026,,,,,,,"",per billing demand ccf,0.3847,0.3847,0.3847,0.3847,0.3847,0.3847,0.3847,0.3847,0.3847,0.3847,0.3847,0.3373
distribution integrity management program,04/01/2026,,,,,,,"",per billing demand ccf,,,,,,,,,,,,
gas system improvement charge,04/01/2026,,,,,,,,per ccf,0.0973,0.0973,0.0973,0.1364,0.1364,0.1364,0.1364,0.1364,0.1364,0.1364,0.1364,0.0226
revenue adjustment mechanism,04/01/2026,,,,,,,,per ccf,0.0361,0.0361,0.0361,0.0424,0.0424,0.0424,0.0424,0.0424,0.0424,0.0424,0.0424,0.0424
conservation adjustment mechanism,04/01/2022,,,,,,,,per ccf,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046
purchased gas adjustment,08/01/2026,,,,,,,,per ccf,0.5376,0.5635,0.5643,0.5645,0.5152,0.5681,0.5478,0.5456,0.6438,0.6826,0.6841,0.7257
delivery charge,04/01/2026,,,,,1000.0,ccf,,per ccf,0.2996,0.2996,0.2996,0.2996,0.2996,0.2996,0.2996,0.2996,0.2996,0.2996,0.2996,0.5708
delivery charge,04/01/2026,,,,1001.0,,ccf,,per ccf,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.4363
customer service charge,12/01/2025,,,,,,,,per month,49.75,49.75,49.75,49.75,49.75,49.75,49.75,49.75,49.75,49.75,49.75,58.0
