bldg_id,tariff_key
434236,bge_non-hp_base_percustomer_passthrough
436422,bge_non-hp_base_percustomer_passthrough
449771,bge_non-hp_base_percustomer_passthrough
454864,bge_non-hp_base_percustomer_passthrough
458240,bge_hp_seasonal_percustomer_passthrough
464895,bge_non-hp_base_percustomer_passthrough
466657,bge_non-hp_base_percustomer_passthrough
469417,bge_non-hp_base_percustomer_passthrough
479886,bge_non-hp_base_percustomer_passthrough
480228,bge_non-hp_base_percustomer_passthrough
480267,bge_non-hp_base_percustomer_passthrough
480438,bge_non-hp_base_percustomer_passthrough
485584,bge_non-hp_base_percustomer_passthrough
498840,bge_non-hp_base_percustomer_passthrough
498990,bge_hp_seasonal_percustomer_passthrough
499996,bge_non-hp_base_percustomer_passthrough
501696,bge_non-hp_base_percustomer_passthrough
508289,bge_non-hp_base_percustomer_passthrough
516754,bge_non-hp_base_percustomer_passthrough
526335,bge_non-hp_base_percustomer_passthrough
531852,bge_non-hp_base_percustomer_passthrough
533562,bge_non-hp_base_percustomer_passthrough
540968,bge_non-hp_base_percustomer_passthrough
542107,bge_non-hp_base_percustomer_passthrough
549955,bge_non-hp_base_percustomer_passthrough
59257,bge_non-hp_base_percustomer_passthrough
60854,bge_non-hp_base_percustomer_passthrough
72146,bge_non-hp_base_percustomer_passthrough
73943,bge_hp_seasonal_percustomer_passthrough
79851,bge_non-hp_base_percustomer_passthrough
90220,bge_non-hp_base_percustomer_passthrough
112243,bge_non-hp_base_percustomer_passthrough
390622,bge_non-hp_base_percustomer_passthrough
335247,bge_hp_seasonal_percustomer_passthrough
269716,bge_hp_seasonal_percustomer_passthrough
362573,bge_hp_seasonal_percustomer_passthrough
462227,bge_non-hp_base_percustomer_passthrough
486693,bge_non-hp_base_percustomer_passthrough
152664,bge_hp_seasonal_percustomer_passthrough
189321,bge_non-hp_base_percustomer_passthrough
510316,bge_non-hp_base_percustomer_passthrough
196986,bge_non-hp_base_percustomer_passthrough
353397,bge_non-hp_base_percustomer_passthrough
234402,bge_non-hp_base_percustomer_passthrough
273493,bge_non-hp_base_percustomer_passthrough
273551,bge_hp_seasonal_percustomer_passthrough
274158,bge_non-hp_base_percustomer_passthrough
359142,bge_hp_seasonal_percustomer_passthrough
313700,bge_non-hp_base_percustomer_passthrough
