rate,effective_date,season,min_therms,max_therms,start,end,determinant,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
delivery,01/01/2026,,,,,,,,per therm,0.8963,0.8963,0.8963,0.8963,0.8963,0.8963,0.8963,0.8963,0.8963,0.8963,0.8963,0.8963
gas commodity price,06/01/2026,,,,,,,,per therm,0.623,0.6015,0.6002,0.6567,0.5838,0.5842,0.5778,0.5966,0.5465,0.5186,0.5661,0.6768
gas efficiency charge,07/01/2024,,,,,,,,per therm,0.0628,0.0628,0.0628,0.0628,0.0628,0.0628,0.0628,0.0628,0.0628,0.0628,0.0628,0.0628
monthly rate adjustment,03/01/2026,,,,,,,,per therm,0.0828,0.0828,0.0896,0.0896,0.0896,0.0896,0.0896,0.0896,0.0896,0.0896,0.0896,0.0896
base distribution revenue offset,01/01/2025,,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas choice and reliability,02/01/2026,,,,,,,,per therm,-0.0001,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053
customer charge,01/01/2026,,,,,,,,per month,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85
strategic infrastructre development and enhancement,01/01/2024,,,,,,,,per month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base distribution revenue offset,01/01/2025,,,,,,,,per month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
county energy tax,07/01/2025,,,,,,,prince george's county,per therm,0.086519,0.086519,0.086519,0.086519,0.086519,0.086519,0.082737,0.082737,0.082737,0.082737,0.082737,0.082737
county fuel-energy tax surcharge,07/01/2025,,,,,,,montgomery county,per therm,0.0973227,0.0973227,0.0973227,0.0973227,0.0973227,0.0973227,0.0974104,0.0974104,0.0974104,0.0974104,0.0974104,0.0974104
