Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium23,Decarb95by2050,2022$,2012,Sunday,p127,NY,NYISO,usa,ET,2040
Metric definitions and scenario descriptions: 2023 Cambium Documentation (https://www.nrel.gov/docs/fy24osti/88507.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,h2-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2040-01-01 00:00:00,2040-01-01 00:00:00,19308.1,0.0,0.0,47.9,19356.0,18671.0,12936.6,3441.2,2366.6,0.033,0.0453,coal,coal,1.0,1.0,0.0,0.0,0.0,2.2,5.0,0.05,0.0,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.5,112.5,16.36,30.1,2126.4,0.48,984.3,93.6,1077.9,22.28,0.0,21.56,43.84,23.34,0.0,22.58,45.92,0.0,0.0,0.0,18281.4,6419.4,2.4,127.4,0.0,3010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3687.4,4012.0,0.0,1022.4,0.0,0.0,6095.4,324.0
2040-01-01 01:00:00,2040-01-01 01:00:00,18203.9,0.0,0.0,57.1,18261.0,17615.4,11836.9,3577.1,3055.1,0.0323,0.0427,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,2.3,5.1,0.05,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.8,6.9,0.69,43.4,2775.1,0.16,368.2,126.2,494.3,22.28,0.0,21.62,43.9,23.27,0.0,22.58,45.85,0.0,0.0,0.0,17739.0,6424.1,0.0,127.4,0.0,3010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3687.4,4012.0,0.0,477.8,0.0,0.0,5964.0,460.1
2040-01-01 02:00:00,2040-01-01 02:00:00,17247.0,0.0,0.0,68.3,17315.4,16698.4,11045.9,3474.6,4145.1,0.0318,0.0405,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,2.3,5.1,0.05,0.0,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.9,6.9,0.69,43.3,2768.7,0.16,367.3,125.9,493.2,22.28,0.0,21.67,43.95,23.22,0.0,22.58,45.8,0.0,0.0,0.0,17985.9,6269.4,4.3,127.4,0.0,3010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3687.4,4012.0,0.0,875.0,0.0,0.0,5542.8,726.7
2040-01-01 03:00:00,2040-01-01 03:00:00,16709.2,0.0,0.0,81.9,16791.0,16181.9,10826.0,3084.7,5799.7,0.0316,0.0392,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,2.1,4.7,0.04,0.0,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.3,6.9,0.69,43.4,2772.0,0.16,367.7,126.0,493.8,22.31,0.0,21.7,44.01,23.22,0.0,22.58,45.8,0.0,0.0,0.0,19506.0,5965.0,961.5,127.4,0.0,3010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3687.4,4012.0,0.0,1742.4,0.0,0.0,5265.6,699.4
2040-01-01 04:00:00,2040-01-01 04:00:00,16407.0,0.0,0.0,69.3,16476.3,15891.5,9917.0,2620.4,5155.0,0.0314,0.0385,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,2.2,4.8,0.04,0.0,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.2,7.1,0.71,44.6,2846.3,0.16,377.6,129.4,507.0,22.73,0.0,21.71,44.45,23.64,0.0,22.58,46.22,0.0,0.0,0.0,19010.9,6559.4,20.7,127.4,0.0,3010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3687.4,4012.0,0.0,1593.7,0.0,0.0,5860.0,699.4
2040-01-01 05:00:00,2040-01-01 05:00:00,16623.9,0.0,0.0,72.0,16695.9,16100.0,8651.1,2197.9,6011.5,0.0315,0.039,battery,gas-cc,1.0,1.0,0.0,0.0,0.0,2.0,4.4,0.04,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.8,7.0,0.7,43.7,2790.6,0.16,370.2,126.9,497.1,22.73,0.0,21.7,44.43,23.66,0.0,22.58,46.24,0.0,0.0,0.0,20509.5,8044.8,237.2,127.4,0.0,3010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3687.4,4012.0,0.0,1390.3,0.0,0.0,6936.8,1108.0
2040-01-01 06:00:00,2040-01-01 06:00:00,17435.5,0.0,0.0,61.4,17496.8,16879.1,7292.0,1576.8,5657.0,0.0319,0.0409,phs,gas-cc,1.0,1.0,0.0,0.0,0.0,1.9,4.2,0.04,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.5,7.0,0.7,43.8,2796.1,0.16,370.9,127.1,498.1,22.95,0.0,21.66,44.61,23.93,0.0,22.58,46.51,0.0,0.0,0.0,21577.0,10204.8,195.7,127.4,0.0,3010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3687.4,4012.0,0.0,339.4,0.0,0.0,8541.8,1662.9
2040-01-01 07:00:00,2040-01-01 07:00:00,18197.6,0.0,0.0,64.7,18262.3,17609.4,5287.1,924.2,6717.0,0.0323,0.0427,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,1.4,3.1,0.03,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.7,6.9,0.69,43.4,2775.1,0.16,368.1,126.2,494.3,21.44,0.0,21.62,43.05,22.39,0.0,22.58,44.97,0.0,0.0,0.0,24055.0,12975.2,391.4,127.4,0.0,3010.4,0.0,0.0,0.0,48.1,0.0,0.0,0.0,0.0,3687.4,3184.4,0.0,678.8,0.0,94.5,10615.3,2217.3
