bldg_id,tariff_key
491073,or
515060,or
546106,or
506603,or
510170,or
516889,null_gas_tariff
487133,or
511332,or
516051,null_gas_tariff
530475,null_gas_tariff
540573,or
517515,null_gas_tariff
530097,or
480266,or
503234,cenhud
507566,or
520062,or
540931,or
530940,or
541378,null_gas_tariff
483838,or
505105,or
549960,or
496368,or
494632,null_gas_tariff
505290,or
510240,or
549099,or
521868,or
531816,or
493338,or
528691,or
543968,or
508466,or
522379,or
481505,or
546580,or
530964,null_gas_tariff
532852,or
480780,or
515209,or
536095,or
527547,cenhud
541075,or
488332,cenhud
480152,or
527425,or
496101,or
498823,or
512586,or
548096,or
483036,or
540391,or
508247,null_gas_tariff
542907,null_gas_tariff
505174,or
518100,or
533813,null_gas_tariff
499571,or
547709,or
496869,null_gas_tariff
545886,null_gas_tariff
502302,or
534239,or
502424,or
519420,or
520101,or
508171,or
509898,or
483266,or
528025,or
539848,or
498415,null_gas_tariff
519568,null_gas_tariff
480568,or
499330,or
525412,or
549020,or
490446,or
504313,or
509522,or
527962,or
482369,or
508935,cenhud
548979,or
497408,null_gas_tariff
497437,null_gas_tariff
522433,or
506332,null_gas_tariff
510723,null_gas_tariff
512540,null_gas_tariff
543153,null_gas_tariff
532257,or
538147,or
544505,or
485459,or
534135,or
495395,or
507082,or
542615,or
113778,or
132317,nyseg_heating
112600,null_gas_tariff
124030,or
77245,or
124223,null_gas_tariff
125509,or
82833,or
103350,or
107966,or
117342,null_gas_tariff
115536,or
78153,null_gas_tariff
115276,or
81936,or
116936,null_gas_tariff
126955,or
135167,or
101099,or
74896,or
108100,or
129739,null_gas_tariff
85462,null_gas_tariff
71781,null_gas_tariff
92715,or
94310,or
129957,null_gas_tariff
71276,or
92597,null_gas_tariff
112158,null_gas_tariff
124475,null_gas_tariff
72487,null_gas_tariff
101303,or
127084,or
86445,or
103846,null_gas_tariff
95297,or
122500,or
83663,null_gas_tariff
100797,or
122825,null_gas_tariff
93802,or
104216,or
70685,or
72681,or
91105,or
114231,or
119255,or
72312,or
123630,null_gas_tariff
134080,or
79224,null_gas_tariff
84370,or
87212,or
111377,or
71745,cenhud
72043,null_gas_tariff
111375,or
116512,null_gas_tariff
136040,or
100426,or
73149,or
92300,or
94000,or
91673,or
107045,or
118943,cenhud
107493,null_gas_tariff
135364,or
88594,or
124051,or
130528,or
134220,or
74654,or
127306,null_gas_tariff
103607,or
94321,or
98664,null_gas_tariff
104427,nyseg_heating
108363,cenhud
73996,or
75405,or
101402,null_gas_tariff
121955,cenhud
133108,or
120647,or
74865,or
83930,or
89037,or
81058,null_gas_tariff
111695,or
116583,or
85045,or
105296,or
105632,or
70998,or
71737,or
88498,or
98195,or
105033,null_gas_tariff
80859,or
75523,null_gas_tariff
133438,or
76205,or
111544,or
124543,or
130913,or
85907,or
115183,nyseg_heating
123498,or
127149,or
49517,or
52338,null_gas_tariff
58115,or
66424,or
17059,or
30251,or
40865,null_gas_tariff
59172,or
63425,or
17791,or
36714,null_gas_tariff
9155,or
10706,null_gas_tariff
20272,null_gas_tariff
22671,nyseg_nonheating
25641,or
47136,null_gas_tariff
62263,or
52062,cenhud
17683,or
18306,or
56066,null_gas_tariff
60534,null_gas_tariff
7733,null_gas_tariff
25885,or
42765,null_gas_tariff
33165,null_gas_tariff
65952,or
25006,or
20327,nyseg_nonheating
28269,null_gas_tariff
66506,or
8503,or
9727,or
30230,or
40578,or
52936,or
36039,or
6381,or
33367,cenhud
34581,or
12582,or
32731,or
38668,null_gas_tariff
34817,or
2482,or
57538,null_gas_tariff
4941,or
4344,or
30124,null_gas_tariff
16533,or
27905,or
7315,null_gas_tariff
29970,or
20852,nyseg_heating
40461,or
12755,or
15385,null_gas_tariff
23341,nyseg_heating
51210,or
313,or
18943,or
45233,or
51582,or
57692,or
1578,cenhud
4986,or
37050,or
37512,or
43449,null_gas_tariff
52735,or
66909,cenhud
16882,or
43285,null_gas_tariff
50146,or
50197,or
67836,or
31007,or
19172,or
31654,or
36236,null_gas_tariff
55802,or
61973,null_gas_tariff
62845,cenhud
16682,or
22940,null_gas_tariff
41164,null_gas_tariff
16681,or
37598,or
61040,null_gas_tariff
49742,null_gas_tariff
18223,null_gas_tariff
21918,or
22459,null_gas_tariff
3590,or
43857,or
23792,or
64785,or
1973,or
3422,null_gas_tariff
8422,or
30820,null_gas_tariff
32336,or
4946,null_gas_tariff
5579,or
62986,nyseg_heating
31973,or
45,or
5905,or
11358,or
56957,or
59977,or
60749,or
414129,or
460099,or
472788,or
479363,null_gas_tariff
450287,or
413578,or
441566,or
443578,or
449001,or
413156,or
427017,or
471191,null_gas_tariff
415230,null_gas_tariff
417779,or
449237,or
473965,or
413961,null_gas_tariff
431238,nyseg_heating
453687,or
479889,or
430749,or
434792,or
467165,cenhud
424409,or
436444,null_gas_tariff
415971,or
421379,or
474209,or
415317,or
434022,or
456125,or
463241,null_gas_tariff
433026,or
451901,null_gas_tariff
417971,or
427880,or
445134,or
476163,or
438766,or
414011,or
437230,or
448229,or
421609,null_gas_tariff
426465,cenhud
445484,or
436878,or
466681,or
424907,or
412082,or
426362,or
455037,or
414184,or
416772,or
444423,or
450151,null_gas_tariff
458732,null_gas_tariff
475680,null_gas_tariff
434778,or
429936,null_gas_tariff
448895,or
457562,null_gas_tariff
461298,or
412040,nyseg_heating
465218,or
418142,or
458955,or
461447,cenhud
429134,or
419525,cenhud
433337,null_gas_tariff
457289,or
439805,or
458097,null_gas_tariff
441852,or
422919,null_gas_tariff
429157,null_gas_tariff
433717,or
428428,or
464408,null_gas_tariff
413545,or
430408,or
461668,or
476580,or
459190,null_gas_tariff
428508,or
438365,or
476338,or
430040,or
446002,cenhud
459248,or
412415,null_gas_tariff
415855,or
441317,or
461643,cenhud
439517,or
453922,or
451294,null_gas_tariff
444953,or
450679,or
452263,or
465505,or
479773,or
176688,or
202716,or
163116,null_gas_tariff
175840,null_gas_tariff
190155,or
190173,cenhud
189070,or
199139,or
205302,or
154932,or
156589,or
167282,null_gas_tariff
158625,or
202133,or
160151,or
197940,or
142398,or
178878,or
137937,or
143026,null_gas_tariff
176173,or
143722,cenhud
154128,null_gas_tariff
176152,or
182964,or
143279,or
136532,or
158652,or
159124,null_gas_tariff
188447,null_gas_tariff
143183,or
177001,or
204662,null_gas_tariff
199097,or
157916,cenhud
145483,or
150288,or
200576,null_gas_tariff
156191,or
158139,or
160044,null_gas_tariff
204177,null_gas_tariff
186601,null_gas_tariff
160014,or
145938,null_gas_tariff
164785,or
164982,or
150651,or
172182,nyseg_nonheating
168359,or
176780,nyseg_heating
196925,null_gas_tariff
193230,null_gas_tariff
201658,null_gas_tariff
166457,null_gas_tariff
160417,nyseg_nonheating
202572,or
136638,or
147143,or
151740,or
183430,null_gas_tariff
202662,cenhud
154888,or
167478,or
183190,or
195140,or
147964,null_gas_tariff
155557,null_gas_tariff
147674,or
136724,or
189108,or
161315,or
165652,or
200889,null_gas_tariff
151693,or
192764,or
194121,or
179258,cenhud
180906,null_gas_tariff
200042,or
140641,or
190367,or
182797,or
198428,or
153854,or
156253,null_gas_tariff
139561,or
142994,or
149361,cenhud
153052,or
166491,or
180887,or
186867,null_gas_tariff
149437,nyseg_heating
182558,or
165040,or
155294,or
163249,null_gas_tariff
136955,or
144748,null_gas_tariff
150888,or
175421,or
149184,or
389477,or
410191,or
400990,or
360809,or
346257,or
353369,or
377060,or
409774,or
346301,or
360427,or
359511,or
372298,or
398650,null_gas_tariff
344005,or
344248,or
371067,null_gas_tariff
382687,or
405410,or
384625,null_gas_tariff
377665,or
407703,or
363629,null_gas_tariff
396697,or
399301,or
354216,or
358759,or
373586,or
356986,or
363871,or
370334,or
382458,null_gas_tariff
359910,or
391734,or
347693,or
370769,cenhud
351527,or
357944,or
367394,null_gas_tariff
369319,or
393020,or
394619,or
396395,null_gas_tariff
404079,or
382857,nyseg_nonheating
410312,or
348757,nyseg_nonheating
357632,null_gas_tariff
350237,null_gas_tariff
361752,null_gas_tariff
366123,or
397381,or
386004,or
351218,or
404434,or
385126,or
364075,or
370081,null_gas_tariff
385936,nyseg_nonheating
406037,or
363140,or
344147,cenhud
363753,or
380908,or
360086,or
382493,null_gas_tariff
367132,or
369480,or
388829,cenhud
390900,or
352620,or
402673,or
406245,null_gas_tariff
377729,or
360807,or
377350,or
364031,or
410293,or
