bldg_id,tariff_key
93802,or
121955,cenhud
130528,or
81058,null_gas_tariff
73149,or
122500,or
84370,or
135364,or
107045,or
79224,null_gas_tariff
103607,or
116512,null_gas_tariff
91105,or
125509,or
112158,null_gas_tariff
134220,or
75405,or
70998,or
111544,or
112600,null_gas_tariff
74654,or
76205,or
103350,or
132317,nyseg_nonheating
126955,or
111375,or
104216,or
83930,or
108100,or
107493,null_gas_tariff
74896,or
71745,cenhud
122825,null_gas_tariff
72681,or
124030,or
82833,or
118943,cenhud
105632,or
116583,or
85045,or
129957,null_gas_tariff
71737,or
78153,null_gas_tariff
101099,or
87212,or
77245,or
88594,or
101303,or
94321,or
92715,or
71276,or
71781,null_gas_tariff
127084,or
94310,or
98195,or
133438,or
139561,or
166491,or
198428,or
159124,null_gas_tariff
136955,or
193230,null_gas_tariff
164785,or
200042,or
143722,cenhud
168359,or
189108,or
144748,null_gas_tariff
147143,or
160151,or
176173,or
195140,or
176688,or
202133,or
202716,or
204177,null_gas_tariff
156191,or
149361,cenhud
183430,null_gas_tariff
136532,or
178878,or
186867,null_gas_tariff
182797,or
136638,or
149184,or
200576,null_gas_tariff
149437,nyseg_nonheating
160044,null_gas_tariff
177001,or
147674,or
165040,or
151740,or
143183,or
160417,nyseg_nonheating
153854,or
137937,or
182964,or
202572,or
143026,null_gas_tariff
188447,null_gas_tariff
154128,null_gas_tariff
180906,null_gas_tariff
150288,or
158625,or
202662,cenhud
192764,or
163116,null_gas_tariff
180887,or
157916,cenhud
145483,or
154888,or
176780,nyseg_nonheating
167478,or
142398,or
194121,or
155294,or
161315,or
182558,or
204662,null_gas_tariff
172182,nyseg_nonheating
153052,or
145938,null_gas_tariff
151693,or
183190,or
147964,null_gas_tariff
163249,null_gas_tariff
156589,or
155557,null_gas_tariff
175840,null_gas_tariff
201658,null_gas_tariff
200889,null_gas_tariff
158652,or
136724,or
197940,or
190173,cenhud
140641,or
189070,or
143279,or
156253,null_gas_tariff
196925,null_gas_tariff
186601,null_gas_tariff
190155,or
150651,or
167282,null_gas_tariff
190367,or
165652,or
142994,or
154932,or
205302,or
160014,or
158139,or
164982,or
199139,or
199097,or
150888,or
175421,or
176152,or
166457,null_gas_tariff
179258,cenhud
1973,or
40461,or
2482,or
43449,null_gas_tariff
20327,nyseg_nonheating
5579,or
41164,null_gas_tariff
31654,or
61040,null_gas_tariff
52062,cenhud
22671,nyseg_nonheating
8503,or
3590,or
32731,or
50197,or
36039,or
30124,null_gas_tariff
8422,or
28269,null_gas_tariff
6381,or
37598,or
34581,or
23341,nyseg_nonheating
52338,null_gas_tariff
16882,or
25641,or
43285,null_gas_tariff
20852,nyseg_nonheating
37050,or
60749,or
4986,or
18223,null_gas_tariff
27905,or
12582,or
17059,or
37512,or
33165,null_gas_tariff
30251,or
31007,or
64785,or
36714,null_gas_tariff
65952,or
66909,cenhud
9727,or
67836,or
15385,null_gas_tariff
52936,or
51582,or
10706,null_gas_tariff
40578,or
66424,or
23792,or
66506,or
7733,null_gas_tariff
22940,null_gas_tariff
55802,or
7315,null_gas_tariff
19172,or
4344,or
38668,null_gas_tariff
20272,null_gas_tariff
43857,or
40865,null_gas_tariff
29970,or
51210,or
17683,or
50146,or
296559,or
293239,or
303210,cenhud
280533,or
325323,or
323027,or
334983,null_gas_tariff
314784,or
338207,or
319311,or
289975,null_gas_tariff
306680,null_gas_tariff
312569,or
306281,or
290773,or
311956,or
293020,null_gas_tariff
323094,or
287307,or
318690,or
327190,null_gas_tariff
283398,null_gas_tariff
341273,or
301309,null_gas_tariff
312082,or
282361,or
289546,or
342132,cenhud
284019,or
302172,or
332837,null_gas_tariff
316578,or
295526,or
318213,null_gas_tariff
315950,or
290589,or
293872,or
311195,or
310523,or
294199,or
322430,cenhud
278509,or
335767,null_gas_tariff
318367,or
287911,or
282130,or
323800,or
292027,or
303190,or
289068,null_gas_tariff
326354,or
331339,cenhud
320675,or
101402,null_gas_tariff
133108,or
115183,nyseg_nonheating
104427,nyseg_nonheating
105033,null_gas_tariff
136040,or
100426,or
91673,or
100797,or
83663,null_gas_tariff
70685,or
103846,null_gas_tariff
111695,or
124543,or
80859,or
134080,or
85462,null_gas_tariff
105296,or
81936,or
72312,or
117342,null_gas_tariff
119255,or
114231,or
86445,or
72043,null_gas_tariff
115536,or
116936,null_gas_tariff
124475,null_gas_tariff
129739,null_gas_tariff
85907,or
120647,or
123630,null_gas_tariff
73996,or
123498,or
130913,or
127306,null_gas_tariff
72487,null_gas_tariff
127149,or
113778,or
75523,null_gas_tariff
135167,or
108363,cenhud
94000,or
115276,or
124223,null_gas_tariff
98664,null_gas_tariff
88498,or
124051,or
92597,null_gas_tariff
92300,or
89037,or
107966,or
95297,or
74865,or
111377,or
18306,or
56957,or
62845,cenhud
17791,or
57692,or
30820,null_gas_tariff
3422,null_gas_tariff
16682,or
30230,or
9155,or
52735,or
45233,or
12755,or
16533,or
62263,or
4946,null_gas_tariff
31973,or
34817,or
25006,or
57538,null_gas_tariff
21918,or
25885,or
56066,null_gas_tariff
5905,or
18943,or
16681,or
47136,null_gas_tariff
1578,cenhud
63425,or
42765,null_gas_tariff
11358,or
45,or
313,or
32336,or
4941,or
49517,or
60534,null_gas_tariff
36236,null_gas_tariff
58115,or
59172,or
59977,or
22459,null_gas_tariff
61973,null_gas_tariff
49742,null_gas_tariff
33367,cenhud
62986,nyseg_nonheating
323931,null_gas_tariff
290534,null_gas_tariff
308152,null_gas_tariff
301368,or
337478,null_gas_tariff
340681,or
311227,or
332305,or
335977,or
292719,or
278170,null_gas_tariff
324098,or
312677,or
280719,or
307852,or
277788,or
284848,or
275344,cenhud
318003,null_gas_tariff
274619,or
314877,null_gas_tariff
298166,null_gas_tariff
329224,or
328117,or
315069,cenhud
314564,or
318184,or
289281,or
317752,or
310593,or
294267,or
289011,or
327916,null_gas_tariff
306962,or
289248,null_gas_tariff
321775,or
308180,null_gas_tariff
320597,or
335845,or
336874,cenhud
283647,or
330025,nyseg_nonheating
309464,or
313803,or
336506,or
321810,or
307887,or
311515,or
336734,or
304800,or
280543,or
289008,null_gas_tariff
323198,or
320392,or
304062,null_gas_tariff
302698,or
325262,null_gas_tariff
313772,null_gas_tariff
517515,null_gas_tariff
542907,null_gas_tariff
541378,null_gas_tariff
534239,or
543153,null_gas_tariff
531816,or
496368,or
518100,or
533813,null_gas_tariff
525412,or
534135,or
527962,or
508247,null_gas_tariff
532257,or
519420,or
521868,or
515209,or
502424,or
505290,or
497408,null_gas_tariff
510240,or
494632,null_gas_tariff
509522,or
505174,or
519568,null_gas_tariff
491073,or
487133,or
510723,null_gas_tariff
512586,or
508171,or
512540,null_gas_tariff
538147,or
480152,or
507566,or
536095,or
520101,or
504313,or
546580,or
528691,or
548096,or
549099,or
542615,or
530964,null_gas_tariff
547709,or
481505,or
483266,or
483838,or
483036,or
499330,or
496869,null_gas_tariff
499571,or
508935,cenhud
493338,or
532852,or
260571,or
264316,or
213257,null_gas_tariff
265580,or
227424,or
263355,null_gas_tariff
215207,or
270895,or
256627,or
237492,or
256283,or
214018,or
216007,or
259814,null_gas_tariff
270955,or
226909,or
212666,or
213502,or
242759,or
225163,or
207786,or
272909,null_gas_tariff
263679,or
240636,or
254115,null_gas_tariff
246438,or
257068,or
205686,or
256819,null_gas_tariff
226089,or
269553,null_gas_tariff
248538,or
250430,or
271594,or
254587,or
222109,or
222859,null_gas_tariff
224080,or
238382,or
225759,or
261121,null_gas_tariff
228928,nyseg_nonheating
263840,or
238441,null_gas_tariff
224772,or
216051,or
243016,or
256777,or
220442,null_gas_tariff
214782,or
211830,or
253922,or
213093,or
205832,null_gas_tariff
220926,or
219314,or
272268,or
225614,null_gas_tariff
224871,or
205900,or
540931,or
497437,null_gas_tariff
480780,or
510170,or
527547,cenhud
530940,or
539848,or
541075,or
488332,cenhud
530475,null_gas_tariff
503234,cenhud
548979,or
515060,or
508466,or
498823,or
485459,or
506603,or
505105,or
482369,or
506332,null_gas_tariff
545886,null_gas_tariff
507082,or
511332,or
527425,or
540573,or
498415,null_gas_tariff
546106,or
502302,or
549020,or
520062,or
528025,or
543968,or
530097,or
522379,or
516889,null_gas_tariff
544505,or
480266,or
516051,null_gas_tariff
480568,or
549960,or
495395,or
490446,or
509898,or
522433,or
496101,or
540391,or
421379,or
460099,or
414184,or
456125,or
434792,or
439805,or
448229,or
479889,or
446002,cenhud
459248,or
429157,null_gas_tariff
414129,or
416772,or
476338,or
415855,or
449001,or
421609,null_gas_tariff
429134,or
465218,or
433717,or
417971,or
458732,null_gas_tariff
472788,or
451901,null_gas_tariff
458955,or
476163,or
441852,or
422919,null_gas_tariff
431238,nyseg_nonheating
413156,or
479773,or
476580,or
413545,or
417779,or
457289,or
449237,or
471191,null_gas_tariff
419525,cenhud
438766,or
461298,or
452263,or
475680,null_gas_tariff
415230,null_gas_tariff
434022,or
433337,null_gas_tariff
424409,or
461447,cenhud
459190,null_gas_tariff
377729,or
396697,or
408951,or
367394,null_gas_tariff
397381,or
381736,or
350237,null_gas_tariff
354216,or
391734,or
386004,or
364075,or
346301,or
358759,or
357632,null_gas_tariff
364031,or
410312,or
357944,or
400123,null_gas_tariff
370081,null_gas_tariff
370334,or
359910,or
382493,null_gas_tariff
399301,or
410958,null_gas_tariff
406245,null_gas_tariff
410293,or
359511,or
371067,null_gas_tariff
400990,or
377665,or
356986,or
363753,or
404079,or
367132,or
394619,or
370769,cenhud
360807,or
464408,null_gas_tariff
458097,null_gas_tariff
414011,or
453922,or
444423,or
433026,or
465505,or
437230,or
412082,or
426465,cenhud
450287,or
428428,or
473965,or
451294,null_gas_tariff
441566,or
413578,or
436444,null_gas_tariff
441317,or
479363,null_gas_tariff
426362,or
474209,or
450151,null_gas_tariff
455037,or
461668,or
457562,null_gas_tariff
443578,or
466681,or
418142,or
430040,or
453687,or
424907,or
438365,or
428508,or
445484,or
412040,nyseg_nonheating
444953,or
415317,or
430408,or
463241,null_gas_tariff
427880,or
430749,or
415971,or
448895,or
467165,cenhud
461643,cenhud
439517,or
427017,or
412415,null_gas_tariff
429936,null_gas_tariff
445134,or
436878,or
450679,or
413961,null_gas_tariff
434778,or
406037,or
384625,null_gas_tariff
385936,nyseg_nonheating
400880,or
409774,or
346257,or
377350,or
363871,or
344248,or
344147,cenhud
405410,or
393020,or
366123,or
361752,null_gas_tariff
373586,or
377060,or
369480,or
372298,or
389477,or
385126,or
360809,or
402673,or
360086,or
347693,or
369319,or
363629,null_gas_tariff
382458,null_gas_tariff
384783,nyseg_nonheating
351527,or
382857,nyseg_nonheating
348757,nyseg_nonheating
410191,or
404434,or
380908,or
396395,null_gas_tariff
352620,or
351218,or
344005,or
388829,cenhud
407703,or
363140,or
360427,or
382687,or
353369,or
390900,or
398650,null_gas_tariff
246001,cenhud
214354,or
255296,null_gas_tariff
270849,nyseg_nonheating
230923,or
244552,null_gas_tariff
256193,or
225787,null_gas_tariff
239749,null_gas_tariff
205907,nyseg_nonheating
239434,or
212978,or
209288,or
213253,or
220123,or
212477,or
269345,or
220356,cenhud
248085,or
221212,or
253282,or
263335,or
234074,or
251345,or
224015,or
209005,or
216227,null_gas_tariff
272716,or
229859,null_gas_tariff
231649,or
237385,or
217396,or
221622,null_gas_tariff
208026,or
244078,or
265086,or
257312,cenhud
257106,or
232085,null_gas_tariff
238645,or
264947,or
225542,null_gas_tariff
233676,or
227160,or
224147,or
242671,or
