rate,effective_date,season,min_therms,max_therms,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
monthly rate adjustment,02/01/2026,,,,,,,,,per therm,-0.008498,-0.009959,-0.006963,-0.003279,-0.001494,-0.000385,-0.003497,-0.0045,-0.007529,-0.010358,-0.012427,-0.01531
gas cost factor,02/01/2026,,,,,,,,,per therm,0.622721,0.68891,0.845956,0.856938,0.744287,0.757763,0.813567,0.783647,0.569579,0.572599,0.628515,0.737286
merchant function charge,02/01/2026,,,,,,,,,per therm,0.025524,0.025164,0.02583,0.026359,0.021732,0.030149,0.026612,0.023043,0.02448,0.025055,0.024776,0.025475
revenue decoupling mechanism,02/01/2026,,,,,,,,,per therm,0.076244,0.116658,0.116658,0.116658,0.116658,0.116658,0.116658,0.116658,0.116658,0.116658,0.116658,0.116658
energy efficiency tracker,01/01/2026,,,,,,,,,per therm,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
clean energy fund,01/01/2025,,,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delivery revenue surcharge,02/01/2026,,,,,,,,,per therm,0.063499,0.063499,0.063499,0.063499,0.063499,0.063499,0.063499,0.063499,0.063499,0.063499,0.063499,0.063499
arrears management program recovery surcharge,02/01/2026,,,,,,,,,per therm,0.005158,0.005158,0.005158,0.005158,0.00501,0.00501,0.00501,0.00501,0.00501,0.00501,0.00501,0.00501
low to moderate - income energy efficiency and building electrification,01/01/2026,,,,,,,,,per therm,,,,,,,,,,,,
base rate,02/01/2026,,,,4.0,90.0,therms,,,per therm,1.486,1.591,1.591,1.591,1.591,1.591,1.591,1.591,1.591,1.591,1.591,1.591
base rate,02/01/2026,,,,91.0,3000.0,therms,,,per therm,1.1835,1.2932,1.2932,1.2932,1.2932,1.2932,1.2932,1.2932,1.2932,1.2932,1.2932,1.2932
