rate,effective_date,season,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
temperature control interruptible revenue surcharge/credit,03/01/2021,,,,,,,per therm,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025
monthly cost of gas and adjustments,02/01/2026,,,,,,,per therm,0.60078,0.57563,0.584285,0.587842,0.647607,0.672568,0.670323,0.450264,0.427619,0.411131,0.570883,0.707701
electric generator revenue,07/01/2025,,,,,,,per therm,-0.00024,-0.00024,-0.00024,-0.00024,-0.00024,-0.00024,0.00445,0.00445,0.00445,0.00445,0.00445,0.00445
gas safety and reliability surcharge,07/01/2025,,,,,,,per therm,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.0,0.0,0.0,0.0,0.0,0.0
non-firm demand response revenue reconciliation surcharge/credit,07/01/2025,,,,,,,per therm,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016
new york facilities system surcharge/credit,07/01/2025,,,,,,,per therm,-0.00297,-0.00297,-0.00297,-0.00297,-0.00297,-0.00297,-0.00271,-0.00271,-0.00271,-0.00271,-0.00271,-0.00271
rate adjustment clause,09/01/2024,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revenue decoupling mechanism,07/01/2025,,,,,,,per therm,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.05006,0.05006,0.05006,0.05006,0.05006,0.05006
demand capacity surcharge,07/01/2025,,,,,,,per therm,0.00337,0.00337,0.00337,0.00337,0.00337,0.00337,0.0,0.0,0.0,0.0,0.0,0.0
late payment charges and other waived fees,07/01/2025,,,,,,,per therm,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.0,0.0,0.0,0.0,0.0,0.0
arrears management program phase 1,08/01/2025,,,,,,,per therm,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.0,0.0,0.0,0.0,0.0
arrears management program phase 2,08/01/2025,,,,,,,per therm,0.00216,0.00216,0.00216,0.00216,0.00216,0.00216,0.00216,0.00233,0.00233,0.00233,0.00233,0.00233
non-labor demand response o&m cost,07/01/2025,,,,,,,per therm,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00324,0.00324,0.00324,0.00324,0.00324,0.00324
net utility plant and depreciation expense reconciliation mechanism,09/01/2024,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rate adjustment mechanism,07/01/2025,,,,,,,per therm,0.01855,0.01855,0.01855,0.01855,0.01855,0.01855,0.01731,0.01731,0.01731,0.01731,0.01731,0.01731
earning adjustment mechanism,05/01/2025,,,,,,,per therm,0.00149,0.00149,0.00149,0.00149,0.00353,0.00353,0.00353,0.00353,0.00353,0.00353,0.00353,0.00353
volumetric charge,04/01/2025,,4.0,1000.0,therms,,,per therm,0.6617,0.6617,0.6617,0.6617,0.6929,0.6929,0.6929,0.6929,0.6929,0.6929,0.6929,0.6929
volumetric charge,04/01/2025,,1001.0,,therms,,,per therm,0.4315,0.4315,0.4315,0.4315,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802
monthly charge,04/01/2025,,,3.0,therms,,,per month,83.95,83.95,83.95,83.95,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
"adjustment in rates and charges, commodity",04/01/2021,,,,,,5th ward queens county,percent,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407
increase in rates and charges - transportation,04/01/2021,,,,,,5th ward queens county,percent,5.548,5.548,5.548,5.548,5.548,5.548,5.548,5.548,5.548,5.548,5.548,5.548
increase in rates and charges - transportation,04/01/2021,,,,,,baxter estates,percent,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041
increase in rates and charges - transportation,04/01/2021,,,,,,centre island,percent,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041
increase in rates and charges - transportation,04/01/2021,,,,,,dering harbor,percent,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041
increase in rates and charges - transportation,04/01/2021,,,,,,nissequoque,percent,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041
increase in rates and charges - transportation,04/01/2021,,,,,,poquott,percent,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041
increase in rates and charges - transportation,04/01/2021,,,,,,shoreham,percent,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041,2.041
increase in rates and charges - commodity rates,04/01/2021,,,,,,all other cities and incorporated villages,percent,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
increase in rates and charges - transportation,04/01/2021,,,,,,all other cities and incorporated villages,percent,3.093,3.093,3.093,3.093,3.093,3.093,3.093,3.093,3.093,3.093,3.093,3.093
mta tax surcharge,04/01/2025,,,,,,"",percent,0.177,0.177,0.177,0.177,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182
