rate,effective_date,season,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
cost of gas and adjustments,02/01/2026,,,,,,,per therm,0.620344,0.595139,0.603803,0.607344,0.66734,0.692383,0.690136,0.469568,0.44697,0.430465,0.59041,0.727425
revenue decoupling mechanism,07/01/2025,,,,,,,per therm,0.01954,0.01954,0.01954,0.01954,0.01954,0.01954,0.03872,0.03872,0.03872,0.03872,0.03872,0.03872
gas safety and reliability surcharge,07/01/2024,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
non-firm demand response revenue reconciliation surcharge/credit,07/01/2025,,,,,,,per therm,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00183,0.00183,0.00183,0.00183,0.00183,0.00183
electric generator revenue,07/01/2025,,,,,,,per therm,-0.00123,-0.00123,-0.00123,-0.00123,-0.00123,-0.00123,-0.00251,-0.00251,-0.00251,-0.00251,-0.00251,-0.00251
new york facilities system surcharge/credit,07/01/2025,,,,,,,per therm,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00497,0.00497,0.00497,0.00497,0.00497,0.00497
earnings adjustment mechanism,05/01/2025,,,,,,,per therm,0.0006,0.0006,0.0006,0.0006,0.00163,0.00163,0.00163,0.00163,0.00163,0.00163,0.00163,0.00163
demand capacity surcharge,07/01/2025,,,,,,,per therm,0.00275,0.00275,0.00275,0.00275,0.00275,0.00275,0.0,0.0,0.0,0.0,0.0,0.0
rate adjustment clause,09/01/2024,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temperature control interruptible revenue surcharge/credit,03/01/2021,,,,,,,per therm,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053
late payment charges and other waived fees,07/01/2025,,,,,,,per therm,-0.00056,-0.00056,-0.00056,-0.00056,-0.00056,-0.00056,0.0,0.0,0.0,0.0,0.0,0.0
arrears management program phase 1,08/01/2025,,,,,,,per therm,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00093,0.00093,0.00093,0.00093,0.00093
arrears management program phase 2,08/01/2025,,,,,,,per therm,0.00039,0.00039,0.00039,0.00039,0.00039,0.00039,0.00039,0.00053,0.00053,0.00053,0.00053,0.00053
net utility plant and depreciation expense reconciliation mechanism,09/01/2024,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
non labor demand response o&m cost,07/01/2025,,,,,,,per therm,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00368,0.00368,0.00368,0.00368,0.00368,0.00368
rate adjustment mechanism,07/01/2025,,,,,,,per therm,0.01998,0.01998,0.01998,0.01998,0.01998,0.01998,0.02033,0.02033,0.02033,0.02033,0.02033,0.02033
site investigation and remediation surcharge,06/01/2025,,,,,,,per therm,,,,,,0.02737,0.02737,0.02737,0.02737,0.02737,0.02737,0.02737
delivery,04/01/2025,,4.0,1000.0,therms,,,per therm,0.64,0.64,0.64,0.64,0.6741,0.6741,0.6741,0.6741,0.6741,0.6741,0.6741,0.6741
delivery,04/01/2025,,1001.0,,therms,,,per therm,0.5356,0.5356,0.5356,0.5356,0.6007,0.6007,0.6007,0.6007,0.6007,0.6007,0.6007,0.6007
service charge,04/01/2025,,,3.0,therms,,,per month,42.72,42.72,42.72,42.72,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
revenue tax,04/01/2022,,,,,,"",percent,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407
mta tax surcharge,04/01/2025,,,,,,"",percent,0.215,0.215,0.215,0.215,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232
