rate,effective_date,season,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
cost of gas and adjustments,02/01/2026,,,,,,,per therm,0.620344,0.595139,0.603803,0.607344,0.66734,0.692383,0.690136,0.469568,0.44697,0.430465,0.59041,0.727425
revenue decoupling mechanism,07/01/2025,,,,,,,per therm,0.05396,0.05396,0.05396,0.05396,0.05396,0.05396,0.11189,0.11189,0.11189,0.11189,0.11189,0.11189
gas safety and reliability surcharge,07/01/2024,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
non-firm demand response revenue reconciliation surcharge/credit,07/01/2025,,,,,,,per therm,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00183,0.00183,0.00183,0.00183,0.00183,0.00183
electric generator revenue,07/01/2025,,,,,,,per therm,-0.00123,-0.00123,-0.00123,-0.00123,-0.00123,-0.00123,-0.00251,-0.00251,-0.00251,-0.00251,-0.00251,-0.00251
new york facilities system surcharge/credit,07/01/2025,,,,,,,per therm,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231
earnings adjustment mechanism,05/01/2025,,,,,,,per therm,0.0005,0.0005,0.0005,0.0005,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076
demand capacity surcharge,07/01/2025,,,,,,,per therm,0.00243,0.00243,0.00243,0.00243,0.00243,0.00243,0.0,0.0,0.0,0.0,0.0,0.0
rate adjustment clause,09/01/2024,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temperature control interruptible revenue surcharge/credit,03/01/2021,,,,,,,per therm,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053
late payment charges and other waived fees,07/01/2025,,,,,,,per therm,-0.05579,-0.05579,-0.05579,-0.05579,-0.05579,-0.05579,0.0,0.0,0.0,0.0,0.0,0.0
arrears management program phase 1,08/01/2025,,,,,,,per therm,0.07374,0.07374,0.07374,0.07374,0.07374,0.07374,0.07374,0.09693,0.09693,0.09693,0.09693,0.09693
arrears management program phase 2,08/01/2025,,,,,,,per therm,0.03973,0.03973,0.03973,0.03973,0.03973,0.03973,0.03973,0.05397,0.05397,0.05397,0.05397,0.05397
net utility plant and depreciation expense reconciliation mechanism,09/01/2024,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
non labor demand response o&m cost,07/01/2025,,,,,,,per therm,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171
rate adjustment mechanism,07/01/2025,,,,,,,per therm,0.15429,0.15429,0.15429,0.15429,0.15429,0.15429,0.12633,0.12633,0.12633,0.12633,0.12633,0.12633
site investigation and remediation surcharge,06/01/2025,,,,,,,per therm,,,,,,0.0277,0.0277,0.0277,0.0277,0.0277,0.0277,0.0277
delivery,04/01/2025,,4.0,50.0,therms,,,per therm,4.0519,4.0519,4.0519,4.0519,4.2751,4.2751,4.2751,4.2751,4.2751,4.2751,4.2751,4.2751
delivery,04/01/2025,,51.0,,therms,,,per therm,2.004,2.004,2.004,2.004,2.1827,2.1827,2.1827,2.1827,2.1827,2.1827,2.1827,2.1827
service charge,04/01/2025,,,3.0,therms,,,per month,19.0,19.0,19.0,19.0,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5
revenue tax,04/01/2022,,,,,,"",percent,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407
mta tax surcharge,04/01/2025,,,,,,"",percent,0.215,0.215,0.215,0.215,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232
