rate,effective_date,season,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
revenue decoupling,10/01/2025,,,,,,,per therm,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.01701,0.01701,0.01701
clean energy fund,01/01/2022,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cost of gas,02/01/2026,,,,,,,per therm,0.44657,0.46126,0.47534,0.49475,0.41505,0.39453,0.38821,0.33998,0.28898,0.26719,0.3836,0.47522
merchant function charge,02/01/2026,,,,,,,per therm,0.02026,0.02073,0.02117,0.02178,0.01927,0.01863,0.01843,0.0169,0.01936,0.01852,0.02298,0.0265
research and development surcharge,01/01/2026,,,,,,,per therm,0.000182,0.000182,0.000182,0.000182,0.000182,0.000182,0.000182,0.000182,0.000182,0.000182,0.000182,0.000182
earnings adjustment mechanism,05/01/2025,,,,,,,per therm,0.00013,0.00013,0.00013,0.00013,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
gas safety and reliability surcharge,11/01/2025,,,,,,,per therm,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.00031,0.00031
net revenue sharing adjustment,10/01/2025,,,,,,,per therm,-0.00644,-0.00644,-0.00644,-0.00644,-0.00644,-0.00644,-0.00644,-0.00644,-0.00644,-0.01234,-0.01234,-0.01234
late payment charges and other waived fees,07/01/2025,,,,,,,per therm,-0.00134,-0.00134,-0.00134,-0.00134,-0.00134,-0.00134,0.0,0.0,0.0,0.0,0.0,0.0
arrears management program phase 1,08/01/2025,,,,,,,per therm,0.00844,0.00844,0.00844,0.00844,0.00844,0.00844,0.00844,0.0,0.0,0.0,0.0,0.0
arrears management program phase 2,08/01/2025,,,,,,,per therm,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.00598,0.00598,0.00598,0.00598,0.00598
demand response surcharge mechanism,07/01/2025,,,,,,,per therm,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.00087,0.00087,0.00087,0.00087,0.00087,0.00087
rate adjustment mechanism,09/01/2025,,,,,,,per therm,,,,,,,,,-0.01751,-0.01751,-0.01751,-0.01751
delivery service,09/01/2025,,4.0,50.0,therms,,,per therm,0.67731,0.67731,0.67731,0.67731,0.67731,0.71722,0.71722,0.71722,0.71722,0.85236,0.85236,0.85236
delivery service,09/01/2025,,51.0,,therms,,,per therm,0.14687,0.14687,0.14687,0.14687,0.14687,0.15553,0.15553,0.15553,0.15553,0.19652,0.19652,0.19652
delivery service,09/01/2025,,,3.0,therms,,,per month,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,22.5,22.5,22.5
revenue tax surcharge - delivery,01/01/2005,,,,,,city of albany,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of amsterdam,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of cohoes,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of fulton,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of glens falls,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of gloversville,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of hudson,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of johnstown,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of little falls,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of oneida,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of oswego,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of rensselaer,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of rome,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of saratoga springs,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of schenectady,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of syracuse,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of troy,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of utica,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of watertown,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of watervliet,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of adams,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of altamont,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of baldwinsville,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of ballston spa,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of brownsville,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of camillus,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of canajoharie,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of canastota,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of carthage,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of castleton-on-hudson,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of cazenovia,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of central square,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of chittenango,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of clayville,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
