rate,effective_date,season,min_therms,max_therms,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
revenue decoupling mechanism,08/01/2025,,,,,,,,,per therm,-0.003472,-0.003472,-0.003472,-0.003472,-0.003472,-0.003472,-0.003472,0.001503,0.001503,0.001503,0.001503,0.001503
rate adjustment mechanism,07/01/2025,,,,,,,,,per therm,0.002877,0.002877,0.002877,0.002877,0.002877,0.002877,0.002476,0.002476,0.002476,0.002476,0.002476,0.002476
gas supply charge,02/01/2026,,,,,,,,,per therm,0.425047,0.405555,0.477021,0.61252,0.512548,0.522246,0.52938,0.482924,0.350769,0.345623,0.438368,0.51483
transition charge,02/01/2026,,,,,,,,,per therm,0.00924,0.009025,0.008952,0.009984,0.009971,0.009977,0.009992,0.009135,0.009176,0.009187,0.009187,0.009209
research and development adjustment,01/01/2026,,,,,,,,,per therm,0.001314,0.001314,0.001314,0.001314,0.001314,0.001314,0.001314,0.001314,0.001314,0.001314,0.001314,0.001314
merchant function charge,02/01/2026,,,,,,,,,per therm,0.023004,0.022416,0.024573,0.028662,0.021876,0.022138,0.023973,0.022717,0.019144,0.019005,0.021512,0.023579
revenue decoupling mechanism - interim charge,05/01/2023,,,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
late payment charges and other waived fees,05/01/2025,,,,,,,,,per therm,0.000389,0.000389,0.000389,0.000389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arrears management program phase 1,08/01/2025,,,,,,,,,per therm,0.018479,0.018479,0.018479,0.018479,0.018479,0.018479,0.018479,0.0,0.0,0.0,0.0,0.0
arrears management program phase 2,08/01/2025,,,,,,,,,per therm,0.011417,0.011417,0.011417,0.011417,0.011417,0.011417,0.011417,0.0,0.0,0.0,0.0,0.0
make-whole rate,05/01/2024,,,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interim charge - revenue decoupling mechanism,01/01/2026,,,,,,,,,per therm,,,,,,,,,,,,
system benefits charge,01/01/2026,,,,,,,,,per therm,,,,,,,,,,,,
usage charge,05/01/2025,,,,4.0,50.0,therms,,,per therm,0.73822,0.73822,0.73822,0.73822,0.73822,0.79924,0.79924,0.79924,0.79924,0.79924,0.79924,0.79924
usage charge,05/01/2025,,,,51.0,,therms,,,per therm,0.19986,0.19986,0.19986,0.19986,0.19986,0.22449,0.22449,0.22449,0.22449,0.22449,0.22449,0.22449
tax credit,10/01/2023,,,,4.0,50.0,therms,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tax credit,10/01/2023,,,,51.0,,therms,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basic service charge,11/01/2023,,,,,3.0,therms,,,per month,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
bill issuance charge,11/01/2023,,,,,,,,,per bill,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
tax surcharge - delivery,02/01/2026,,,,,,,,village of goshen,percent,3.2117,3.2117,3.1338,3.1338,3.2168,3.2168,3.2168,3.2168,3.2168,3.2168,3.2168,3.2168
tax surcharge - delivery,02/01/2026,,,,,,,,village of walden,percent,3.2117,3.2117,3.1338,3.1338,3.2168,3.2168,3.2168,3.2168,3.2168,3.2168,3.2168,3.2168
tax surcharge - delivery,02/01/2026,,,,,,,,all other areas of orange county,percent,2.1586,2.1586,2.0814,2.0814,2.1635,2.1635,2.1635,2.1635,2.1635,2.1635,2.1635,2.1635
tax surcharge - delivery,02/01/2026,,,,,,,,village of brewster,percent,3.2615,3.2615,3.1482,3.1482,3.1882,3.1882,3.1882,3.1882,3.1882,3.1882,3.1882,3.1882
tax surcharge - delivery,02/01/2026,,,,,,,,all other areas of putnam county,percent,2.2079,2.2079,2.0957,2.0957,2.1352,2.1352,2.1352,2.1352,2.1352,2.1352,2.1352,2.1352
tax surcharge - delivery,04/01/2021,,,,,,,,city of auburn,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,04/01/2021,,,,,,,,city of binghamton,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,04/01/2021,,,,,,,,city of canandaigua,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,04/01/2021,,,,,,,,city of cortland,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,04/01/2021,,,,,,,,city of elmira,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,04/01/2021,,,,,,,,city of geneva,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,04/01/2021,,,,,,,,city of ithaca,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,04/01/2021,,,,,,,,city of lockport,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,04/01/2021,,,,,,,,city of mechanicville,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,04/01/2021,,,,,,,,city of norwich,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,04/01/2021,,,,,,,,city of olean,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
