rate,effective_date,season,min_therms,max_therms,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
gas supply charge,02/01/2026,,,,,,,,,per therm,0.402047,0.39619,0.460667,0.501471,0.403153,0.408299,0.385737,0.408577,0.311305,0.295775,0.390214,0.465774
merchant function charge,02/01/2026,,,,,,,,,per therm,0.023102,0.022964,0.024483,0.025444,0.022073,0.022232,0.018141,0.018847,0.015841,0.015361,0.01828,0.020615
revenue decoupling mechanism,08/01/2025,,,,,,,,,per therm,-0.003855,-0.003855,-0.003855,-0.003855,-0.003855,-0.003855,-0.003855,-0.005478,-0.005478,-0.005478,-0.005478,-0.005478
rate adjustment mechanism,07/01/2025,,,,,,,,,per therm,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.001612,0.001612,0.001612,0.001612,0.001612,0.001612
revenue decoupling mechanism - interim charge,05/01/2022,,,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
late payment charges and other waived fees,05/01/2025,,,,,,,,,per therm,0.002097,0.002097,0.002097,0.002097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arrears management program phase 2,08/01/2025,,,,,,,,,per therm,0.001209,0.001209,0.001209,0.001209,0.001209,0.001209,0.001209,0.000565,0.000565,0.000565,0.000565,0.000565
arrears management program phase 1,08/01/2025,,,,,,,,,per therm,0.000795,0.000795,0.000795,0.000795,0.000795,0.000795,0.000795,0.000284,0.000284,0.000284,0.000284,0.000284
make-whole rate,05/01/2025,,,,,,,,,per therm,0.0087,0.0087,0.0087,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system benefits charge,01/01/2026,,,,,,,,,per therm,,,,,,,,,,,,
delivery,05/01/2025,,,,4.0,100.0,therms,,,per therm,0.35497,0.35497,0.35497,0.35497,0.35497,0.41781,0.41781,0.41781,0.41781,0.41781,0.41781,0.41781
delivery,05/01/2025,,,,101.0,500.0,therms,,,per therm,0.33763,0.33763,0.33763,0.33763,0.33763,0.39736,0.39736,0.39736,0.39736,0.39736,0.39736,0.39736
delivery,05/01/2025,,,,501.0,1000.0,therms,,,per therm,0.30149,0.30149,0.30149,0.30149,0.30149,0.35474,0.35474,0.35474,0.35474,0.35474,0.35474,0.35474
delivery,05/01/2025,,,,1001.0,,therms,,,per therm,0.12852,0.12852,0.12852,0.12852,0.12852,0.15076,0.15076,0.15076,0.15076,0.15076,0.15076,0.15076
tax credit,10/01/2023,,,,4.0,100.0,therms,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tax credit,10/01/2023,,,,101.0,500.0,therms,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tax credit,10/01/2023,,,,501.0,1000.0,therms,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tax credit,10/01/2023,,,,1001.0,,therms,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delivery,11/01/2023,,,,,3.0,therms,,,per month,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
bill issuance charge,11/01/2023,,,,,,,,,per bill,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
tax surcharge - delivery,02/01/2022,,,,,,,,city of rochester,percent,5.2632,5.2632,5.2632,5.2632,5.2632,5.2632,5.2632,5.2632,5.2632,5.2632,5.2632,5.2632
tax surcharge - delivery,02/01/2022,,,,,,,,village of avon,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of brockport,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2023,,,,,,,,village of caledonia,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of east rochester,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of fairport,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of geneseo,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of hilton,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of leicester,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of leroy,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of livonia,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of mt. morris,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of perry,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of pittsford,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of scottsville,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of sodus,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of sodus point,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of warsaw,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of webster,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,village of wolcott,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - delivery,02/01/2022,,,,,,,,all other villages and towns,percent,2.0408,2.0408,2.0408,2.0408,2.0408,2.0408,2.0408,2.0408,2.0408,2.0408,2.0408,2.0408
tax surcharge - commodity,02/01/2022,,,,,,,,city of rochester,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
tax surcharge - commodity,02/01/2022,,,,,,,,village of avon,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of brockport,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of caledonia,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2023,,,,,,,,village of east rochester,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of fairport,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of geneseo,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of hilton,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of leicester,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of leroy,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of livonia,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of mt. morris,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of perry,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of pittsford,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of scottsville,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of sodus,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of sodus point,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of warsaw,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of webster,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,village of wolcott,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
tax surcharge - commodity,02/01/2022,,,,,,,,all other villages and towns,percent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
