Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t,,
Cambium24,MidCase,$2023.00,2012,Sunday,p133,RI,ISONE,usa,ET,2025,,
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/analysis/cambium.html),,,,,,,,,,,,
Time,Time,Load,Load,Load,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost
Datetime,Datetime,MWh,MWh,MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh
timestamp,timestamp_local,busbar_load_for_enduse,busbar_load,net_load_busbar,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse
1/1/2025 0:00,1/1/2025 0:00,837.9,857.7,815.6,34.97,0.0,0.0,34.97,36.55,0.0,0.0,36.55
1/1/2025 1:00,1/1/2025 1:00,774.7,830.8,788.7,34.97,0.0,0.0,34.97,36.43,0.0,0.0,36.43
1/1/2025 2:00,1/1/2025 2:00,732.6,734.7,696.6,34.97,0.0,0.0,34.97,36.34,0.0,0.0,36.34
1/1/2025 3:00,1/1/2025 3:00,720.0,722.1,687.1,34.97,0.0,0.0,34.97,36.32,0.0,0.0,36.32
1/1/2025 4:00,1/1/2025 4:00,710.5,712.6,681.1,34.97,0.0,0.0,34.97,36.3,0.0,0.0,36.3
1/1/2025 5:00,1/1/2025 5:00,720.0,776.0,751.8,34.97,0.0,0.0,34.97,36.32,0.0,0.0,36.32
1/1/2025 6:00,1/1/2025 6:00,755.8,758.0,744.1,35.83,0.0,0.0,35.83,37.29,0.0,0.0,37.29
1/1/2025 7:00,1/1/2025 7:00,775.8,777.7,634.3,35.83,0.0,0.0,35.83,37.33,0.0,0.0,37.33
1/1/2025 8:00,1/1/2025 8:00,808.4,814.8,435.7,34.97,0.0,0.0,34.97,36.49,0.0,0.0,36.49
1/1/2025 9:00,1/1/2025 9:00,840.0,841.5,456.2,35.83,0.0,0.0,35.83,37.46,0.0,0.0,37.46
