bldg_id,tariff_key
276666,
278276,cenhud
279978,
297171,coned_sf
298143,
309912,cenhud
314696,
314797,
321998,
336922,
338088,
338926,
339580,
276346,
279205,
280479,
281813,cenhud
288368,
295513,
297233,cenhud
307049,cenhud
308732,cenhud
315520,
315944,cenhud
329402,
334659,
341299,
279833,national_grid
285184,
285493,
287778,
290938,
291871,
298104,
304569,
306428,
311176,cenhud
312355,
313561,cenhud
317256,
317919,
320186,cenhud
323843,
327171,
335123,
339701,
342256,cenhud
276544,cenhud
277930,cenhud
278031,cenhud
297595,
299590,
303469,
315272,cenhud
315332,cenhud
318420,
318498,
321826,
329574,
330743,
331563,
338969,
340145,
274109,
277228,
278207,
283114,
283964,
285018,
285186,cenhud
296500,
302869,cenhud
304330,national_grid
304840,
305139,
309131,cenhud
312657,cenhud
313929,national_grid
316385,
317796,
326702,cenhud
329747,
335404,
337698,
340866,
274475,cenhud
276093,
280218,
285124,
286414,cenhud
287400,
291503,
311820,
317465,cenhud
320160,cenhud
325861,
326712,nyseg_heating
328386,cenhud
279278,
282272,
287676,cenhud
290220,
290777,
297384,
297989,
299800,cenhud
302591,
316935,
319314,
323246,
328512,
336097,cenhud
336195,cenhud
336920,
341619,
275467,
276063,
283263,
288332,
289384,cenhud
290897,
291288,cenhud
298811,cenhud
305461,
305565,
310206,
313984,cenhud
314668,
317951,
319539,
319940,
325360,cenhud
325415,
331102,
339126,
341372,
342644,
4044,
9517,
11268,
11755,
12259,
15575,
15980,
20055,
24163,
32014,
33858,cenhud
34616,
41110,national_grid
42084,
42380,
43248,cenhud
44288,cenhud
45798,
45938,cenhud
47088,
55638,
61353,cenhud
65441,cenhud
65686,
66873,national_grid
12559,cenhud
20287,cenhud
24352,cenhud
24466,
25651,
31718,
42240,
43145,
44365,
44385,
55573,
60070,
66475,
933,
5543,
5963,
6496,
9052,
11466,
14492,
17607,nyseg_heating
25157,
29660,
29975,cenhud
36350,
43740,cenhud
45811,cenhud
49750,
51546,
52176,
55986,
56155,
56885,
58937,cenhud
60132,
61824,
62072,nyseg_heating
62238,cenhud
67921,
94,national_grid
3520,
13902,nyseg_heating
32111,
33403,
40463,national_grid
45013,national_grid
47667,cenhud
47847,
49081,cenhud
49844,
50173,national_grid
57932,
63755,cenhud
63972,
65622,nyseg_heating
4535,
7285,
9597,cenhud
14501,
27301,
32422,
39004,cenhud
42109,
43314,
43336,
53145,
55355,cenhud
55446,
57497,
64270,
4498,
5441,
8727,cenhud
9312,national_grid
9904,cenhud
13332,cenhud
13348,
13572,
20670,cenhud
21887,
24248,
37763,or
38498,
41966,
42176,
43340,
49010,cenhud
56277,
63678,
66799,
2665,cenhud
4905,
10704,
10720,
23359,
34317,
37745,national_grid
38520,cenhud
41439,
41792,
46458,
46891,
48081,
48649,
52189,
54305,
61646,
3887,cenhud
5243,
7454,cenhud
8237,
10657,cenhud
11474,
11698,cenhud
12438,
14434,national_grid
30936,
31113,national_grid
36164,
39058,cenhud
44664,
46832,
50064,
51936,
52110,
57707,
65271,
67111,
208640,cenhud
209170,
209648,
213758,
213902,
216099,
216821,
219037,cenhud
220655,cenhud
222279,cenhud
232014,
240283,
244004,national_grid
246322,
247154,
247739,national_grid
249336,cenhud
252860,
254801,nyseg_heating
257650,
258289,
262070,cenhud
210417,cenhud
211503,
214151,
214522,
216956,
220886,
236217,
244274,cenhud
247940,
247942,
248069,
249699,cenhud
249748,
252291,cenhud
253154,cenhud
263927,cenhud
267436,
273869,
207699,
218230,
221742,cenhud
222916,
224319,
227399,
227795,cenhud
230598,
236663,
242407,
243735,
247814,
248536,cenhud
249418,
256407,cenhud
257138,cenhud
257702,cenhud
257742,
257850,
266277,
271142,
206707,
210346,
219831,
220870,cenhud
224238,
231490,cenhud
234829,
239107,cenhud
248058,cenhud
251458,
252851,
254621,
254836,
255588,
259538,national_grid
265761,
270423,nyseg_heating
271800,cenhud
272922,
207819,
207980,
210082,
212985,
214614,
218917,
220140,
224920,cenhud
225664,nyseg_heating
231228,
232150,
232852,or
235524,
237755,
238281,
242815,
244725,
250597,
254118,
267127,
269806,
273258,cenhud
273722,
211231,
214170,
214702,
217593,cenhud
222262,
222794,
224546,
224980,cenhud
225758,cenhud
227579,cenhud
228882,
229652,cenhud
230777,cenhud
233610,
234619,cenhud
235854,
239716,
239885,cenhud
241315,
248739,
248993,cenhud
249564,
252670,cenhud
255083,
258149,cenhud
269734,
270171,national_grid
213318,
215380,
215445,
215480,cenhud
220480,cenhud
220726,national_grid
225306,
230487,cenhud
231193,
239042,
244095,
244262,
261412,
262197,
264275,national_grid
264414,nyseg_heating
264613,
266376,
207145,
210671,
217383,national_grid
220144,
225176,
234929,
239880,
243285,
257467,cenhud
258576,
264392,cenhud
272393,
481749,
487971,cenhud
489596,
493997,cenhud
500009,national_grid
501511,
502746,
503568,cenhud
506995,national_grid
509526,cenhud
510920,cenhud
512771,
516016,
518615,
528227,national_grid
531286,
534692,
539017,
546029,cenhud
486606,national_grid
493948,cenhud
494597,
499080,
506282,
510712,
519607,nyseg_heating
522360,
523852,
524755,
531519,cenhud
534822,cenhud
537041,
538890,
543465,
480046,
484103,national_grid
485642,
485934,cenhud
488594,
489507,
489639,
492632,cenhud
504252,
505339,cenhud
510180,national_grid
514275,nyseg_heating
516981,
522193,
525573,
527103,
532164,
535195,
537578,
539607,
541295,
548499,
548991,cenhud
480511,
483069,
485842,cenhud
485906,
486027,national_grid
495943,
496973,
499660,
501807,
508109,cenhud
508947,
510332,
518760,cenhud
518854,
527060,
528803,cenhud
537121,cenhud
548937,cenhud
549370,
481155,cenhud
483353,cenhud
498884,
510301,
515912,
522063,
529621,
531833,cenhud
536920,
541961,national_grid
542026,cenhud
542191,cenhud
543937,cenhud
547189,
548016,
549770,
482095,
483081,cenhud
483156,
484305,
487639,
494061,cenhud
494820,cenhud
496804,
498339,
502764,
502940,
503113,
511648,
514935,
517050,
523018,
523485,
525744,or
526075,
535294,
537019,
537831,
548566,
480075,cenhud
483908,
499565,cenhud
500926,
504159,
513757,
521480,
522175,
522668,
523612,cenhud
525249,cenhud
530505,
530873,
536215,
537135,
541599,
544878,cenhud
547180,
509288,national_grid
526947,
530119,or
531431,cenhud
542485,national_grid
543988,
544778,
145186,
153730,
155570,
157608,
157850,cenhud
157945,cenhud
158455,
165532,nyseg_heating
167103,
168439,cenhud
175630,
180657,
188796,
191126,cenhud
191296,
200086,
203473,
204543,
142274,
151582,cenhud
154721,
155846,
157085,
160111,cenhud
166546,
167292,
172373,
175780,cenhud
185811,cenhud
185961,
187798,nyseg_heating
192930,
193117,
193252,
194408,cenhud
196065,
196599,
140955,cenhud
141568,
141972,
150271,cenhud
150854,
156647,
161956,
163866,cenhud
164489,cenhud
165457,
171968,
172950,
180644,
186817,
194940,
200938,
137204,
139281,
140390,
145278,cenhud
146591,cenhud
148141,cenhud
149112,cenhud
157734,
164962,
168319,cenhud
175875,
182062,cenhud
183527,
185363,
186342,national_grid
189193,
189825,
192865,
200703,
202906,
136363,
137150,
145919,
156579,
161442,cenhud
164987,cenhud
165874,
168286,
169859,
171810,
174923,cenhud
180193,
181391,cenhud
188176,cenhud
189356,
190176,
198666,
202014,
