bldg_id,tariff_key
70576,nyseg_heating
91914,nyseg_heating
103044,null_gas_tariff
105961,null_gas_tariff
106776,cenhud
115922,null_gas_tariff
135214,corning
135830,null_gas_tariff
73030,null_gas_tariff
95869,cenhud
106667,null_gas_tariff
115974,nyseg_heating
119935,null_gas_tariff
78204,null_gas_tariff
88286,nfg
99677,null_gas_tariff
102199,null_gas_tariff
111968,null_gas_tariff
118769,nyseg_heating
129749,nfg
97809,nyseg_heating
99788,null_gas_tariff
101822,nyseg_heating
134589,nfg
71713,coned_mf_highrise
72132,null_gas_tariff
80001,cenhud
97780,nfg
102817,nyseg_heating
106305,cenhud
108289,null_gas_tariff
108659,null_gas_tariff
122717,nimo
126133,nfg
73660,null_gas_tariff
94995,nimo
123655,coned_mf_lowrise
76456,nfg
80845,null_gas_tariff
89595,null_gas_tariff
96149,null_gas_tariff
119372,null_gas_tariff
124809,null_gas_tariff
69898,null_gas_tariff
85003,null_gas_tariff
102061,null_gas_tariff
120103,null_gas_tariff
69315,null_gas_tariff
71681,nimo
77166,nfg
80210,null_gas_tariff
97069,null_gas_tariff
116107,nyseg_heating
86747,nyseg_nonheating
93383,nyseg_nonheating
95168,null_gas_tariff
129788,null_gas_tariff
89988,nyseg_heating
118733,nyseg_nonheating
120000,null_gas_tariff
71136,nyseg_heating
72179,rge
84255,nyseg_heating
94717,nyseg_heating
114294,null_gas_tariff
126403,null_gas_tariff
131746,nimo
132292,null_gas_tariff
81292,nfg
84426,nfg
87283,nfg
92544,null_gas_tariff
97951,null_gas_tariff
105231,nfg
116404,null_gas_tariff
134039,corning
135266,coned_mf_lowrise
79701,corning
98648,nfg
99512,null_gas_tariff
105491,null_gas_tariff
106237,null_gas_tariff
119334,nfg
131501,null_gas_tariff
132610,nyseg_heating
70649,null_gas_tariff
93250,null_gas_tariff
98895,null_gas_tariff
120007,nfg
130328,nfg
134484,nyseg_heating
69878,null_gas_tariff
78964,nfg
83256,nfg
91132,nfg
93229,null_gas_tariff
103043,nfg
103415,nimo
103614,null_gas_tariff
106627,null_gas_tariff
113863,null_gas_tariff
113921,null_gas_tariff
116026,null_gas_tariff
119000,nfg
123228,nyseg_heating
134787,null_gas_tariff
83126,nfg
93443,null_gas_tariff
95946,nyseg_heating
98304,null_gas_tariff
101490,nyseg_heating
115544,nyseg_heating
126063,nfg
78291,nfg
85919,null_gas_tariff
92025,nyseg_heating
108221,null_gas_tariff
112869,null_gas_tariff
125164,null_gas_tariff
126031,null_gas_tariff
84182,null_gas_tariff
88174,null_gas_tariff
107407,null_gas_tariff
118698,corning
125881,nyseg_heating
128133,nyseg_heating
129409,nfg
133306,null_gas_tariff
133708,nyseg_heating
98347,null_gas_tariff
100476,rge
101922,null_gas_tariff
106053,nfg
133175,null_gas_tariff
68061,rge
111804,null_gas_tariff
79584,nyseg_nonheating
84043,nimo
98567,null_gas_tariff
99226,nyseg_nonheating
105670,nfg
121596,nfg
80744,nyseg_heating
104744,nyseg_heating
107553,null_gas_tariff
108266,nyseg_heating
114811,null_gas_tariff
124517,nyseg_heating
128716,null_gas_tariff
70616,null_gas_tariff
73768,nyseg_heating
74372,cenhud
75482,null_gas_tariff
92819,null_gas_tariff
94772,null_gas_tariff
95116,nfg
102453,null_gas_tariff
108099,corning
116069,nfg
118772,null_gas_tariff
129501,nyseg_nonheating
83951,nfg
84916,nfg
87703,rge
88748,nyseg_heating
93980,null_gas_tariff
98710,nyseg_heating
100805,nyseg_heating
106286,nfg
126176,null_gas_tariff
133852,cenhud
75564,null_gas_tariff
88511,null_gas_tariff
94377,null_gas_tariff
107236,nyseg_heating
107921,null_gas_tariff
109454,cenhud
118685,nyseg_nonheating
120910,null_gas_tariff
133638,null_gas_tariff
135966,nyseg_nonheating
68088,null_gas_tariff
69394,null_gas_tariff
98687,null_gas_tariff
103733,nyseg_heating
124657,cenhud
98876,nfg
114467,nyseg_heating
132708,nyseg_nonheating
103360,null_gas_tariff
107490,null_gas_tariff
109369,nfg
112267,null_gas_tariff
118918,nfg
130431,null_gas_tariff
68791,null_gas_tariff
76093,null_gas_tariff
88252,nfg
98953,nimo
99205,corning
114733,nfg
115709,null_gas_tariff
73968,null_gas_tariff
75864,nfg
80674,nyseg_nonheating
91690,null_gas_tariff
96285,stlaw
100367,null_gas_tariff
101591,null_gas_tariff
105148,nyseg_heating
115958,nfg
80655,nyseg_heating
86279,null_gas_tariff
88510,nyseg_heating
92758,null_gas_tariff
94265,nyseg_heating
103744,nimo
107050,null_gas_tariff
108559,cenhud
114803,nimo
116817,nyseg_nonheating
118319,corning
83403,null_gas_tariff
83604,nfg
86401,reserve
86935,nimo
88300,null_gas_tariff
102149,nfg
111343,stlaw
119726,nfg
126104,null_gas_tariff
130594,null_gas_tariff
131869,nimo
67981,nyseg_heating
89220,null_gas_tariff
113508,nyseg_heating
113809,null_gas_tariff
123372,null_gas_tariff
135338,null_gas_tariff
70027,nyseg_nonheating
89885,nfg
109384,cenhud
126289,nfg
73915,nyseg_heating
85843,nimo
87820,nfg
93246,null_gas_tariff
118249,null_gas_tariff
76155,null_gas_tariff
81229,nyseg_heating
86492,null_gas_tariff
119487,nyseg_heating
124615,nyseg_heating
127498,nyseg_heating
135177,nfg
136059,corning
70079,nyseg_heating
74279,null_gas_tariff
78956,nyseg_heating
79109,nyseg_heating
85657,nyseg_nonheating
103339,null_gas_tariff
110442,null_gas_tariff
110907,null_gas_tariff
115980,nyseg_heating
117024,nimo
119209,nyseg_nonheating
123513,nfg
128692,null_gas_tariff
132352,corning
132842,nfg
79202,nfg
81943,rge
86500,null_gas_tariff
96193,nfg
100265,null_gas_tariff
106961,null_gas_tariff
108075,nfg
130919,nyseg_nonheating
74382,nyseg_nonheating
79845,nyseg_heating
84753,null_gas_tariff
106738,null_gas_tariff
122881,cenhud
129371,nyseg_nonheating
136260,nfg
85696,null_gas_tariff
