bldg_id,tariff_key
494632,null_gas_tariff
506603,or
510170,or
512586,or
548979,or
502302,or
515209,or
519568,null_gas_tariff
520101,or
508466,or
541378,null_gas_tariff
508171,or
509898,or
504313,or
503234,cenhud
515060,or
527425,or
528025,or
496869,null_gas_tariff
497408,null_gas_tariff
497437,null_gas_tariff
520062,or
506332,null_gas_tariff
510723,null_gas_tariff
536095,or
538147,or
549020,or
509522,or
527962,or
542615,or
480152,or
507566,or
539848,or
496101,or
487133,or
521868,or
522433,or
530475,null_gas_tariff
483036,or
502424,or
512540,null_gas_tariff
532257,or
542907,null_gas_tariff
543968,or
505174,or
522379,or
530940,or
534135,or
481505,or
490446,or
483266,or
516889,null_gas_tariff
540391,or
493338,or
517515,null_gas_tariff
518100,or
525412,or
496368,or
546106,or
482369,or
498823,or
548096,or
540931,or
519420,or
508247,null_gas_tariff
544505,or
527547,cenhud
480266,or
483838,or
495395,or
507082,or
491073,or
532852,or
547709,or
505290,or
510240,or
511332,or
531816,or
543153,null_gas_tariff
485459,or
480568,or
533813,null_gas_tariff
499571,or
480780,or
508935,cenhud
549099,or
516051,null_gas_tariff
534239,or
540573,or
530097,or
499330,or
488332,cenhud
530964,null_gas_tariff
498415,null_gas_tariff
545886,null_gas_tariff
528691,or
541075,or
505105,or
546580,or
549960,or
73149,or
124030,or
77245,or
86445,or
108100,or
135364,or
70685,or
88594,or
114231,or
89037,or
123630,null_gas_tariff
76205,or
79224,null_gas_tariff
103607,or
107966,or
71745,cenhud
85045,or
98664,null_gas_tariff
111375,or
70998,or
71781,null_gas_tariff
104216,or
123498,or
72681,or
133108,or
101303,or
103846,null_gas_tariff
118943,cenhud
103350,or
116583,or
117342,null_gas_tariff
104427,nyseg_heating
122825,null_gas_tariff
130913,or
85907,or
81936,or
92715,or
100426,or
112158,null_gas_tariff
72487,null_gas_tariff
91105,or
112600,null_gas_tariff
120647,or
124051,or
134220,or
74654,or
74865,or
124223,null_gas_tariff
133438,or
74896,or
111695,or
111544,or
78153,null_gas_tariff
85462,null_gas_tariff
93802,or
115183,nyseg_heating
135167,or
71276,or
88498,or
132317,nyseg_heating
92300,or
94000,or
119255,or
127084,or
130528,or
125509,or
107045,or
84370,or
87212,or
129739,null_gas_tariff
72043,null_gas_tariff
73996,or
71737,or
116936,null_gas_tariff
126955,or
92597,null_gas_tariff
105033,null_gas_tariff
122500,or
134080,or
100797,or
111377,or
94321,or
108363,cenhud
75405,or
94310,or
116512,null_gas_tariff
129957,null_gas_tariff
101099,or
101402,null_gas_tariff
124475,null_gas_tariff
80859,or
127306,null_gas_tariff
72312,or
95297,or
81058,null_gas_tariff
105632,or
115536,or
124543,or
98195,or
113778,or
121955,cenhud
75523,null_gas_tariff
83930,or
91673,or
82833,or
83663,null_gas_tariff
107493,null_gas_tariff
105296,or
115276,or
127149,or
136040,or
9155,or
31654,or
52062,cenhud
30124,null_gas_tariff
18306,or
45,or
36714,null_gas_tariff
59977,or
60749,or
3590,or
20852,nyseg_heating
17059,or
23341,nyseg_heating
62263,or
22940,null_gas_tariff
25006,or
59172,or
18223,null_gas_tariff
19172,or
18943,or
23792,or
4986,or
17683,or
37598,or
6381,or
56066,null_gas_tariff
12582,or
25885,or
56957,or
58115,or
10706,null_gas_tariff
20272,null_gas_tariff
65952,or
47136,null_gas_tariff
16682,or
37050,or
37512,or
28269,null_gas_tariff
8503,or
38668,null_gas_tariff
31007,or
49517,or
12755,or
15385,null_gas_tariff
25641,or
52936,or
2482,or
36039,or
55802,or
40865,null_gas_tariff
4946,null_gas_tariff
5579,or
33367,cenhud
61040,null_gas_tariff
63425,or
7733,null_gas_tariff
50146,or
40578,or
33165,null_gas_tariff
43857,or
51210,or
313,or
51582,or
1973,or
32336,or
16681,or
62986,nyseg_heating
20327,nyseg_nonheating
66506,or
7315,null_gas_tariff
16882,or
32731,or
9727,or
11358,or
21918,or
22459,null_gas_tariff
30230,or
43285,null_gas_tariff
34817,or
52338,null_gas_tariff
22671,nyseg_nonheating
36236,null_gas_tariff
45233,or
57692,or
61973,null_gas_tariff
62845,cenhud
3422,null_gas_tariff
8422,or
1578,cenhud
43449,null_gas_tariff
16533,or
60534,null_gas_tariff
17791,or
5905,or
67836,or
40461,or
66424,or
30251,or
57538,null_gas_tariff
64785,or
4941,or
30820,null_gas_tariff
41164,null_gas_tariff
4344,or
52735,or
27905,or
31973,or
34581,or
66909,cenhud
42765,null_gas_tariff
49742,null_gas_tariff
29970,or
50197,or
