bldg_id,tariff_key
280533,
283398,
290589,or
293020,
295526,
304062,
313772,
314784,or
323027,or
323800,or
282361,or
284019,or
287307,or
287911,or
290773,or
303210,or
306680,
312082,or
312569,or
322430,cenhud
326354,or
329224,or
330025,or
336734,or
340681,or
341273,or
274619,or
277788,or
283647,or
290534,
292027,or
292719,or
303190,or
306962,or
310593,nyseg_heating
311515,or
317752,or
318003,
327916,
289248,
289281,or
293239,or
306281,or
315950,
316578,
318213,
319311,or
320675,or
331339,cenhud
289068,
293872,or
307852,or
307887,or
318184,or
321775,or
332837,
335845,or
342132,or
278170,
278509,or
280543,or
302172,or
311227,or
314564,or
315069,or
320597,or
325262,
328117,or
335977,
336506,or
338207,or
275344,or
280719,or
284848,or
289008,
289011,or
289546,or
294267,or
296559,or
301309,
301368,or
302698,or
304800,or
308152,
309464,or
310523,or
311956,or
312677,or
314877,
320392,nyseg_heating
323198,or
323931,
324098,or
325323,or
332305,or
334983,
335767,
282130,or
289975,
294199,or
298166,
308180,
311195,or
313803,or
318367,or
318690,or
321810,
323094,or
327190,
336874,or
337478,
412082,or
414129,or
416772,cenhud
436444,
438365,or
438766,or
441566,or
453687,or
413156,or
413578,or
414184,or
426362,or
427017,or
429134,or
429936,
441852,or
444423,or
448229,nyseg_heating
448895,
450287,cenhud
458732,
459248,
461298,or
467165,or
475680,
479773,or
414011,or
415230,
417779,or
428428,or
428508,nyseg_heating
430408,or
433717,or
434022,or
443578,
451294,
452263,or
453922,or
474209,or
476163,or
479363,
412415,
415971,or
417971,cenhud
418142,or
421379,or
434792,or
439517,or
445134,or
449237,or
457289,or
460099,or
461447,or
466681,or
471191,
473965,or
413961,
421609,
424409,nyseg_heating
424907,or
427880,or
433026,or
434778,or
437230,
441317,or
444953,or
450151,
458097,
459190,
461643,
464408,
412040,or
413545,or
415317,or
415855,
422919,
429157,
431238,or
439805,or
449001,or
456125,or
458955,or
465505,or
419525,cenhud
430749,or
436878,or
446002,or
451901,
455037,or
463241,
479889,or
426465,cenhud
430040,or
433337,
445484,or
450679,or
457562,
461668,or
465218,or
472788,or
476338,cenhud
476580,or
313,or
3590,or
4941,or
8422,
19172,
30230,or
31007,or
37512,or
38668,
43449,
56957,or
61973,
67836,
4946,
4986,or
15385,
21918,or
22671,
28269,
29970,or
30820,
32336,or
32731,or
40461,or
47136,
52062,
52936,or
56066,
59977,or
62845,cenhud
1578,or
2482,or
16882,or
23792,or
34817,or
37598,or
66506,or
6381,or
9155,or
12582,or
18223,
18306,or
20327,
22940,
25006,or
36714,
43857,or
60749,or
62263,or
63425,or
3422,
12755,or
16681,or
17683,cenhud
23341,or
25641,or
27905,
36236,
40578,or
40865,
43285,
49517,or
49742,
52338,
52735,cenhud
65952,
7733,
8503,or
11358,or
16682,
17791,or
18943,
20272,
22459,
33165,
51582,or
57538,
58115,or
60534,
61040,
45,or
4344,or
9727,or
17059,or
20852,or
30124,
31654,or
31973,or
33367,
34581,or
36039,
42765,
45233,or
50146,or
50197,
66909,
1973,or
5579,
5905,or
7315,
10706,
16533,or
25885,or
30251,or
37050,
41164,
51210,or
55802,
57692,or
59172,or
62986,cenhud
64785,or
66424,or
71745,cenhud
73149,or
74654,or
86445,or
87212,or
93802,or
94321,or
103607,or
104427,cenhud
116583,or
123630,
130913,
71781,
74896,or
80859,or
81058,
83930,or
85907,or
104216,or
105033,
105296,
105632,or
107966,or
111695,or
112158,
129739,
70998,or
84370,or
89037,or
92715,or
95297,cenhud
98195,or
101402,
122825,
123498,or
124030,or
127149,or
133108,or
135167,or
70685,or
76205,
79224,
82833,or
83663,
85045,or
101099,or
111377,cenhud
116512,
118943,or
72043,
72487,
72681,or
75523,
85462,
88594,or
91673,or
98664,
100426,
103846,
107045,or
108100,nyseg_heating
114231,or
120647,or
121955,or
125509,or
127306,
130528,or
135364,or
136040,or
73996,
75405,or
88498,or
91105,or
101303,
111375,or
112600,
113778,or
122500,or
124223,
124475,
124543,or
126955,or
132317,nyseg_heating
133438,or
72312,or
81936,or
92300,cenhud
92597,
94310,or
116936,
117342,
129957,
71276,or
71737,or
74865,or
77245,or
78153,
94000,or
100797,or
103350,or
107493,
108363,
111544,or
115183,nyseg_heating
115276,
115536,or
119255,or
124051,or
127084,or
134080,or
134220,or
209005,or
212477,or
213093,or
213253,or
220926,or
224015,or
224147,
224871,or
228928,cenhud
242671,or
244078,or
255296,
256283,or
263679,or
265086,or
270895,or
271594,
205900,or
205907,cenhud
225787,
227160,or
250430,or
257312,or
269553,
270955,or
207786,cenhud
208026,or
213502,or
216007,or
222109,cenhud
225163,or
226909,or
227424,or
231649,or
232085,
234074,or
239749,
242759,or
246438,or
248538,or
253282,
256777,or
259814,
264947,
205832,
216227,
217396,or
221212,or
224772,or
226089,
238441,
240636,or
246001,cenhud
251345,or
253922,or
257106,
265580,or
269345,or
209288,or
211830,or
216051,or
221622,
225614,
239434,or
243016,or
244552,
254115,
260571,or
261121,
212666,or
214782,or
230923,or
237385,or
237492,or
238382,or
263840,or
272268,or
205686,or
215207,or
219314,or
220356,or
224080,or
225542,
256193,or
256627,or
263335,or
264316,or
272716,or
212978,or
213257,
214018,or
214354,or
220123,cenhud
220442,
222859,
225759,or
229859,
233676,or
238645,or
248085,
254587,cenhud
256819,
257068,or
263355,
270849,or
272909,
143279,or
143722,cenhud
147674,or
147964,
151693,or
154932,or
160151,cenhud
163116,
176152,or
178878,or
183430,
200576,
204662,
139561,or
142398,or
144748,
147143,
150888,or
160014,or
167478,or
176173,or
182558,
182964,or
190155,or
195140,or
202133,or
205302,or
149437,or
150288,or
175421,or
177001,or
183190,or
189108,or
192764,or
198428,or
136532,or
136955,or
137937,or
149361,or
153052,or
154888,nyseg_heating
155294,nyseg_heating
158139,or
158625,or
159124,
168359,or
188447,
190367,cenhud
197940,or
201658,
136724,or
143183,or
155557,
156589,
157916,or
164982,or
166491,or
179258,or
193230,
196925,
199139,or
200889,
202662,or
202716,or
136638,or
140641,or
149184,or
150651,or
151740,cenhud
153854,
158652,or
161315,or
164785,or
165652,or
175840,
186867,
143026,
145483,
154128,
156191,or
160044,
163249,
166457,
172182,
176688,or
176780,or
186601,
190173,or
199097,cenhud
200042,or
204177,
142994,or
145938,
156253,
160417,
165040,or
167282,
180887,or
180906,
182797,or
189070,
194121,or
202572,or
350237,
352620,or
363140,cenhud
370769,or
385936,
393020,or
394619,or
404079,or
344248,
346301,or
357632,
360086,or
369480,or
373586,cenhud
377060,or
377665,or
390900,or
400123,
406245,
344005,or
344147,or
347693,or
359910,or
360807,or
370334,or
384625,
385126,or
389477,or
391734,
404434,
351527,or
354216,or
356986,or
357944,or
359511,
360809,or
367394,
371067,
380908,
400880,or
408951,or
348757,
351218,or
358759,or
363629,
363871,cenhud
366123,
369319,or
372298,or
377350,
382493,
382687,
382857,
398650,
400990,cenhud
405410,or
407703,or
353369,or
388829,
396395,
410191,or
410293,or
410312,or
346257,or
363753,or
364031,or
370081,
381736,or
384783,or
396697,or
399301,
402673,or
409774,or
360427,nyseg_heating
361752,
364075,
367132,or
377729,or
382458,
386004,or
397381,or
406037,
410958,
498415,
505290,or
508247,
510170,or
510240,or
515060,or
516051,
522379,or
527962,or
528691,or
530940,or
532852,or
538147,or
539848,or
480266,or
480568,or
480780,or
483838,or
494632,
496869,
502424,or
504313,or
505174,
509522,or
515209,or
517515,
528025,or
530475,
543968,or
545886,
481505,or
493338,or
507566,cenhud
518100,or
522433,or
533813,
534135,or
542615,or
542907,
544505,or
548096,
487133,or
491073,or
502302,or
503234,or
505105,or
506603,or
508171,or
508935,cenhud
509898,or
512586,or
519568,
521868,or
525412,or
527425,or
530097,nyseg_heating
540391,or
543153,
549960,or
480152,or
482369,or
485459,
497408,
516889,
520062,cenhud
527547,
530964,
534239,or
540573,or
546106,
483266,or
496101,or
496368,or
497437,
499330,or
506332,
511332,or
532257,cenhud
541378,
548979,or
549099,
483036,or
490446,
499571,or
507082,or
510723,
519420,or
520101,or
540931,or
546580,or
488332,
495395,or
498823,or
508466,or
512540,
531816,or
536095,or
541075,nyseg_heating
547709,or
549020,or
