bldg_id,tariff_key
75305,
75759,rge
83983,
84410,rge
90087,
93242,rge
93310,rge
93939,rge
96156,rge
96685,rge
100058,rge
101461,rge
101760,rge
104528,rge
106631,rge
110806,rge
111621,rge
115599,
116109,rge
119399,rge
120345,
121327,rge
124441,nyseg_heating
134018,rge
68254,rge
68815,rge
69451,rge
69641,rge
71964,rge
75196,rge
75386,
75437,rge
78421,
79215,rge
81006,rge
88793,
93036,rge
94187,
96097,
96954,rge
100923,
105959,
108609,rge
112932,rge
114558,
115777,rge
119447,rge
125168,rge
125963,rge
126591,rge
126923,rge
133509,
135879,rge
72878,rge
75910,
76088,rge
81761,
83230,
90501,rge
94400,rge
106628,rge
111555,rge
113895,rge
117017,rge
119019,rge
122808,rge
123814,rge
123960,rge
126268,
136123,rge
72466,
77530,
79096,rge
81255,rge
82311,rge
86862,rge
89360,rge
92543,rge
100309,
102533,rge
104389,rge
110558,
110795,
111117,
112914,nyseg_heating
115433,
117761,rge
120973,rge
124711,nfg
129968,rge
132756,rge
68943,
72443,
74765,nfg
75056,nfg
75170,rge
83018,rge
83808,rge
83886,rge
89826,rge
91710,rge
92198,rge
100369,
102783,nyseg_heating
103608,rge
121861,rge
122146,rge
123321,rge
125831,rge
127439,rge
128078,
128119,rge
75062,rge
75438,rge
79120,
80085,rge
81332,rge
91786,rge
92244,
93341,rge
93746,
93944,rge
95890,
98605,rge
101121,nyseg_heating
104171,rge
109493,rge
121428,
131360,rge
131388,rge
72607,rge
74769,
75889,
80266,
80437,rge
81280,rge
85472,rge
93502,
96966,rge
108288,rge
109258,rge
109664,rge
118388,nfg
122078,rge
127957,rge
133106,rge
133156,
135350,rge
69539,
75908,rge
76117,rge
79300,rge
79336,
81811,rge
82699,rge
83752,rge
86427,rge
92871,rge
93678,nyseg_heating
99224,rge
111757,rge
112587,rge
113307,
114254,
116282,rge
118128,rge
129402,
130689,rge
130712,rge
131807,rge
132751,
136917,rge
139702,rge
148592,rge
148964,rge
149596,nyseg_heating
150849,national_grid
150898,nfg
153110,rge
155271,rge
158229,rge
159647,rge
162832,rge
162924,rge
168647,rge
174844,rge
182982,rge
185098,rge
187048,national_grid
195436,rge
196041,rge
196998,nfg
197354,nfg
197628,rge
202678,rge
203697,rge
205063,rge
137786,rge
138108,
142299,
143225,
147095,rge
151163,national_grid
158204,rge
160083,
160249,rge
160976,rge
161992,rge
167369,rge
168191,
169508,
171336,rge
175272,rge
184629,nyseg_heating
187510,
191873,rge
198711,rge
200666,nfg
201137,
205007,
137444,rge
138032,rge
140656,rge
141250,
145536,rge
146049,rge
150005,nfg
152525,rge
155755,rge
159554,rge
162406,rge
162607,rge
163889,rge
167807,
172500,
175094,
175103,
175478,rge
179560,rge
180765,
184894,national_grid
187505,
187575,rge
190430,rge
194825,rge
196360,rge
198465,nfg
202212,rge
203543,rge
204147,rge
204575,rge
204671,rge
142476,rge
142945,rge
147744,nfg
148130,rge
150411,rge
150956,
152018,nyseg_heating
155190,rge
163935,rge
171929,
172505,
176506,
181552,nyseg_heating
181737,
184095,
185613,
186678,rge
191518,rge
195047,rge
140855,rge
144454,rge
145030,rge
147591,rge
151759,
154440,
156506,rge
157388,rge
158399,rge
160158,
165154,nfg
167142,rge
178517,rge
178909,
186128,rge
189482,
195444,nyseg_heating
197341,rge
200695,nfg
142925,rge
143527,nfg
144364,
147406,rge
149039,nfg
159045,
159259,rge
161596,nyseg_heating
162752,rge
169451,rge
172747,rge
176431,
177835,
177997,rge
178066,rge
185266,
188336,nfg
189741,nfg
192242,rge
195057,rge
196256,rge
200863,rge
204919,
143901,rge
145921,
151492,
152874,rge
153720,rge
157140,rge
162665,nfg
162770,nyseg_heating
165898,rge
167304,rge
168348,rge
168959,
169900,nfg
170159,
170190,rge
171035,rge
178050,rge
178132,rge
180456,rge
181359,rge
181497,rge
182292,rge
182624,rge
183416,
196417,nfg
196871,rge
202304,rge
203887,rge
204768,rge
205155,rge
136906,
138696,nfg
140611,
141072,nyseg_heating
141557,rge
144796,nfg
146336,rge
148090,rge
151932,rge
152953,
154722,
158846,rge
165964,rge
166564,
169754,rge
176490,rge
183287,rge
184201,nyseg_heating
184992,rge
186914,rge
190276,rge
191241,rge
195592,nyseg_heating
202827,rge
139,nfg
8230,
14703,nfg
15629,rge
17024,national_grid
17227,rge
25926,rge
26297,
33772,rge
39704,
41688,rge
42555,rge
45323,rge
50716,rge
51905,rge
54086,
57295,
63239,
63711,rge
1404,nfg
4597,national_grid
7612,
16008,rge
17368,rge
17997,
20254,rge
22937,rge
27051,
29213,rge
30488,nyseg_heating
31637,rge
34994,
36148,rge
39564,rge
43725,rge
58659,rge
59046,rge
63745,rge
66153,rge
510,nyseg_heating
1565,rge
2035,rge
5936,rge
14230,rge
15576,
18048,rge
19752,
22269,rge
23595,rge
26805,rge
29621,rge
32327,
34658,rge
38832,
39907,rge
40403,rge
41801,rge
42379,rge
45329,rge
46042,nyseg_heating
49809,rge
51132,
53437,rge
53445,rge
54506,
55936,rge
62890,
65380,rge
2820,rge
3019,rge
17377,rge
33922,rge
37115,rge
38267,rge
43352,rge
44368,rge
50223,rge
51182,rge
56532,nfg
65855,
1053,rge
4878,rge
6268,
8637,rge
14059,rge
20111,
30234,rge
30370,
32407,
33094,rge
39382,
43105,rge
43246,national_grid
53489,
57245,
66564,rge
67293,rge
1655,
2059,rge
6028,
9982,rge
11405,rge
15483,rge
16107,rge
20072,rge
24362,rge
25421,rge
26725,
27851,rge
30764,rge
32030,rge
32149,rge
