rate,effective_date,season,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
cost of gas and adjustments,02/01/2026,,,,,,,per therm,0.620344,0.595139,0.603803,0.607344,0.66734,0.692383,0.690136,0.469568,0.44697,0.430465,0.59041,0.727425
revenue decoupling mechanism,07/01/2025,,,,,,,per therm,0.05396,0.05396,0.05396,0.05396,0.05396,0.05396,0.11189,0.11189,0.11189,0.11189,0.11189,0.11189
gas safety and reliability surcharge,07/01/2024,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
non-firm demand response revenue reconciliation surcharge/credit,07/01/2025,,,,,,,per therm,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00183,0.00183,0.00183,0.00183,0.00183,0.00183
electric generator revenue,07/01/2025,,,,,,,per therm,-0.00123,-0.00123,-0.00123,-0.00123,-0.00123,-0.00123,-0.00251,-0.00251,-0.00251,-0.00251,-0.00251,-0.00251
new york facilities system surcharge/credit,07/01/2025,,,,,,,per therm,0.00305,0.00305,0.00305,0.00305,0.00305,0.00305,0.00492,0.00492,0.00492,0.00492,0.00492,0.00492
earnings adjustment mechanism,05/01/2025,,,,,,,per therm,0.0007,0.0007,0.0007,0.0007,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162
demand capacity surcharge,07/01/2025,,,,,,,per therm,0.00337,0.00337,0.00337,0.00337,0.00337,0.00337,0.0,0.0,0.0,0.0,0.0,0.0
rate adjustment clause,09/01/2024,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temperature control interruptible revenue surcharge/credit,03/01/2021,,,,,,,per therm,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053
late payment charges and other waived fees,07/01/2025,,,,,,,per therm,-0.00949,-0.00949,-0.00949,-0.00949,-0.00949,-0.00949,0.0,0.0,0.0,0.0,0.0,0.0
arrears management program phase 1,08/01/2025,,,,,,,per therm,0.01266,0.01266,0.01266,0.01266,0.01266,0.01266,0.01266,0.01687,0.01687,0.01687,0.01687,0.01687
arrears management program phase 2,08/01/2025,,,,,,,per therm,0.00657,0.00657,0.00657,0.00657,0.00657,0.00657,0.00657,0.0089,0.0089,0.0089,0.0089,0.0089
net utility plant and depreciation expense reconciliation mechanism,09/01/2024,,,,,,,per therm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
non labor demand response o&m cost,07/01/2025,,,,,,,per therm,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00365,0.00365,0.00365,0.00365,0.00365,0.00365
rate adjustment mechanism,07/01/2025,,,,,,,per therm,0.03182,0.03182,0.03182,0.03182,0.03182,0.03182,0.03169,0.03169,0.03169,0.03169,0.03169,0.03169
site investigation and remediation surcharge,06/01/2025,,,,,,,per therm,,,,,,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767
delivery,04/01/2025,,4.0,50.0,therms,,,per therm,1.7846,1.7846,1.7846,1.7846,1.9789,1.9789,1.9789,1.9789,1.9789,1.9789,1.9789,1.9789
delivery,04/01/2025,,51.0,,therms,,,per therm,0.6663,0.6663,0.6663,0.6663,0.7389,0.7389,0.7389,0.7389,0.7389,0.7389,0.7389,0.7389
service charge,04/01/2025,,,3.0,therms,,,per month,22.0,22.0,22.0,22.0,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
revenue tax,04/01/2022,,,,,,"",percent,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407,2.407
mta tax surcharge,04/01/2025,,,,,,"",percent,0.215,0.215,0.215,0.215,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232
