rate,effective_date,season,min_therms,max_therms,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
gas supply charge,02/01/2026,,,,,,,,,per ccf,0.49813,0.57633,0.6716,0.66642,0.55561,0.56323,0.60595,0.50242,0.4391,0.40743,0.52616,0.63987
merchant function charge,02/01/2026,,,,,,,,,per ccf,0.01758,0.01806,0.01864,0.01581,0.01513,0.01518,0.01544,0.0148,0.01441,0.01422,0.01548,0.01618
monthly gas adjustments,02/01/2026,,,,,,,,,per ccf,0.10907,0.1094,0.11306,0.113,0.11987,0.12016,0.1288,0.12441,0.12441,0.12513,0.11653,0.11865
system benefits charge,01/01/2026,,,,,,,,,per ccf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revenue decoupling mechanism,02/01/2025,,,,,,,,,per ccf,0.0445,0.1183,0.1183,0.1183,0.1183,0.1183,0.1183,0.1183,0.1183,0.1183,0.1183,0.1183
delivery revenue surcharge,01/01/2026,,,,,,,,,per ccf,0.0731,0.0731,0.0731,0.0731,0.0731,0.0731,0.0731,0.0731,0.0731,0.0731,0.0731,0.0731
delivery charge,01/01/2026,,,,4.0,,ccf,,,per ccf,0.75079,0.75079,0.75079,0.75079,0.82163,0.82163,0.82163,0.82163,0.82163,0.82163,0.82163,0.82163
ulieep surcharge,03/01/2000,,,,4.0,,ccf,,,per ccf,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004
delivery charge,01/01/2026,,,,,3.0,ccf,,,per month,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
ulieep surcharge,03/01/2000,,,,,,,,,per month,-0.00012,-0.00012,-0.00012,-0.00012,-0.00012,-0.00012,-0.00012,-0.00012,-0.00012,-0.00012,-0.00012,-0.00012
metropolitan transportation authority business tax surcharge,02/01/2026,,,,,,,,"",percent,0.99453,0.99453,0.99197,0.99197,0.995025,0.995025,0.995025,0.995025,0.995025,0.995025,0.995025,0.995025
gross receipts tax - commodity,04/01/2021,,,,,,,,city of middletown,percent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gross receipts tax - commodity,04/01/2021,,,,,,,,city of port jervis,percent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gross receipts tax - commodity,04/01/2021,,,,,,,,village of airmont,percent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gross receipts tax - commodity,04/01/2021,,,,,,,,village of chester,percent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
