Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t,,
Cambium23,Decarb95by2050,2022$,2012,Sunday,p131,MA,ISONE,usa,ET,2025,,
Metric definitions and scenario descriptions: 2023 Cambium Documentation (https://www.nrel.gov/docs/fy24osti/88507.pdf),,,,,,,,,,,,
Time,Time,Load,Load,Load,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost
Datetime,Datetime,MWh,MWh,MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh
timestamp,timestamp_local,busbar_load_for_enduse,busbar_load,net_load_busbar,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse
1/1/2025 0:00,1/1/2025 0:00,5582.1,5621.6,4883,28.91,0,1.08,29.99,30.24,0,1.13,31.36
1/1/2025 1:00,1/1/2025 1:00,5254.7,5292.3,4571.2,26.01,0,1.08,27.09,27.13,0,1.13,28.26
1/1/2025 2:00,1/1/2025 2:00,5020,5055.5,4305.9,24.59,0,1.08,25.67,25.6,0,1.13,26.72
1/1/2025 3:00,1/1/2025 3:00,4904.2,4939.2,4218.8,25.85,0,1.08,26.94,26.89,0,1.13,28.01
1/1/2025 4:00,1/1/2025 4:00,4864.2,5078.6,4455.3,22.08,0,1.08,23.17,22.96,0,1.13,24.09
1/1/2025 5:00,1/1/2025 5:00,4964.2,5192.2,4637.2,22.08,0,1.08,23.16,22.98,0,1.13,24.1
1/1/2025 6:00,1/1/2025 6:00,5133.7,5175.6,4752.1,26.01,0,1.08,27.09,27.11,0,1.13,28.23
1/1/2025 7:00,1/1/2025 7:00,5253.7,6097.3,5191.8,22.08,0,1.08,23.16,23.03,0,1.13,24.16
1/1/2025 8:00,1/1/2025 8:00,5545.3,7443.7,5518.5,19.9,0,1.08,20.98,20.81,0,1.13,21.94
1/1/2025 9:00,1/1/2025 9:00,5704.2,7360.7,5469,22.08,0,1.07,23.16,23.12,0,1.13,24.24
1/1/2025 10:00,1/1/2025 10:00,5900,6922.7,5208.2,22.08,0,1.07,23.16,23.16,0,1.13,24.28
1/1/2025 11:00,1/1/2025 11:00,5942.1,6641.3,5159.8,22.08,0,1.07,23.16,23.16,0,1.13,24.29
1/1/2025 12:00,1/1/2025 12:00,6001.1,6888.4,5308.1,22.08,0,1.07,23.16,23.18,0,1.13,24.3
1/1/2025 13:00,1/1/2025 13:00,5980,7337.1,5452.8,22.08,0,1.07,23.16,23.17,0,1.13,24.3
1/1/2025 14:00,1/1/2025 14:00,5898.9,6905.1,5316.9,22.08,0,1.07,23.16,23.16,0,1.13,24.28
1/1/2025 15:00,1/1/2025 15:00,5968.4,6014.2,5422,31.41,0,1.07,32.48,32.96,0,1.13,34.08
1/1/2025 16:00,1/1/2025 16:00,6546.3,6594.6,5872.6,31.85,0,1.07,32.92,33.58,0,1.13,34.71
1/1/2025 17:00,1/1/2025 17:00,7073.7,7119.4,6246.6,31.97,0,1.06,33.03,33.85,0,1.13,34.98
1/1/2025 18:00,1/1/2025 18:00,7081.1,7126.9,6177.8,31.97,0,1.06,33.03,33.85,0,1.13,34.98
1/1/2025 19:00,1/1/2025 19:00,6927.4,6974.2,6023.1,31.97,0,1.06,33.03,33.81,0,1.13,34.93
1/1/2025 20:00,1/1/2025 20:00,6708.4,6755.5,5751.1,31.85,0,1.07,32.92,33.63,0,1.13,34.75
1/1/2025 21:00,1/1/2025 21:00,6321.1,6363.1,5266.4,31.41,0,1.07,32.48,33.05,0,1.13,34.18
1/1/2025 22:00,1/1/2025 22:00,5875.8,5915.6,4815.9,27.82,0,1.07,28.9,29.17,0,1.13,30.3
1/1/2025 23:00,1/1/2025 23:00,5387.4,5881.2,4776.3,24.53,0,1.08,25.61,25.61,0,1.13,26.74
1/2/2025 0:00,1/2/2025 0:00,4956.8,5580.2,4482.6,0,0,1.08,1.08,0,0,1.13,1.13
1/2/2025 1:00,1/2/2025 1:00,4693.7,4857,3782.4,0,0,1.08,1.09,0,0,1.13,1.13
1/2/2025 2:00,1/2/2025 2:00,4574.7,5290.3,4205.3,0,0,1.08,1.09,0,0,1.13,1.13
1/2/2025 3:00,1/2/2025 3:00,4484.2,4960.8,3843.5,0,0,1.09,1.09,0,0,1.13,1.13
1/2/2025 4:00,1/2/2025 4:00,4555.8,4581.9,3479.2,10.94,0,1.09,12.03,11.35,0,1.13,12.48
1/2/2025 5:00,1/2/2025 5:00,4830.5,4858.6,3745.7,31.31,0,1.08,32.39,32.55,0,1.13,33.67
1/2/2025 6:00,1/2/2025 6:00,5226.3,5256.5,4219.1,31.31,0,1.08,32.39,32.65,0,1.13,33.78
1/2/2025 7:00,1/2/2025 7:00,5543.2,5575.2,4248.7,31.31,0,1.08,32.39,32.74,0,1.13,33.86
