year,local_tx_nominal,local_tx_real,substation_nominal,substation_real,feeder_nominal,feeder_real,total_nominal,total_real
2026,0.0,0.0,0.0,0.0,0.19,0.19,0.19,0.19
2027,0.0,0.0,0.06,0.06,0.39,0.38,0.45,0.44
2028,0.0,0.0,2.4,2.31,0.4,0.38,2.8,2.69
2029,0.0,0.0,2.46,2.31,0.41,0.38,2.86,2.69
2030,0.0,0.0,4.35,4.0,0.41,0.38,4.76,4.38
2031,0.0,0.0,11.25,10.14,0.42,0.38,11.67,10.52
2032,0.0,0.0,11.49,10.14,0.43,0.38,11.92,10.52
2033,17.22,14.89,14.41,12.46,0.44,0.38,32.07,27.73
2034,17.59,14.89,14.71,12.46,0.45,0.38,32.75,27.73
2035,17.95,14.89,15.02,12.46,0.46,0.38,33.43,27.73
