year,local_tx_nominal,local_tx_real,substation_nominal,substation_real,feeder_nominal,feeder_real,total_nominal,total_real
2026,0.0,0.0,0.0,0.0,12.57,12.57,12.57,12.57
2027,0.0,0.0,5.08,4.98,14.58,14.28,11.61,11.37
2028,0.0,0.0,59.41,56.99,14.89,14.28,41.71,40.01
2029,0.0,0.0,60.66,56.99,15.2,14.28,42.59,40.01
2030,0.0,0.0,93.18,85.74,15.52,14.28,64.9,59.72
2031,0.0,0.0,109.53,98.72,15.85,14.28,90.2,81.3
2032,0.0,0.0,111.83,98.72,16.18,14.28,92.09,81.3
2033,64.07,55.4,128.48,111.08,16.52,14.28,78.68,68.02
2034,65.42,55.4,131.17,111.08,16.87,14.28,80.33,68.02
2035,66.79,55.4,133.93,111.08,17.22,14.28,82.01,68.02
