year,local_tx_nominal,local_tx_real,substation_nominal,substation_real,feeder_nominal,feeder_real,total_nominal,total_real
2026,0.0,0.0,0.06,0.06,0.19,0.19,0.25,0.25
2027,0.0,0.0,2.29,2.25,0.0,0.0,2.29,2.25
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,1.8,1.69,0.0,0.0,1.8,1.69
2030,0.0,0.0,6.67,6.14,0.0,0.0,6.67,6.14
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,16.87,14.89,2.62,2.32,0.0,0.0,19.49,17.21
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,17.95,14.89,0.0,0.0,0.0,0.0,17.95,14.89
