year,local_tx_nominal,local_tx_real,substation_nominal,substation_real,feeder_nominal,feeder_real,total_nominal,total_real
2026,0.0,0.0,0.0,0.0,12.57,12.57,12.57,12.57
2027,0.0,0.0,5.08,4.98,16.8,16.45,10.85,10.63
2028,0.0,0.0,82.66,79.3,0.0,0.0,82.66,79.3
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,298.33,274.54,0.0,0.0,298.33,274.54
2031,0.0,0.0,121.51,109.51,0.0,0.0,121.51,109.51
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,64.07,55.4,284.23,245.75,0.0,0.0,71.53,61.85
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
