year,transmission_nominal,transmission_real,substation_nominal,substation_real,primary_nominal,primary_real,transformer_nominal,transformer_real,secondary_nominal,secondary_real,distribution_nominal,distribution_real,local_total_nominal,local_total_real
2025,0.0,0.0,0.0,0.0,17.39,17.39,6.82,6.82,21.99,21.99,46.19,46.19,46.19,46.19
2026,0.0,0.0,161.83,158.04,17.8,17.39,6.98,6.82,22.52,21.99,47.3,46.19,209.14,204.23
2027,0.0,0.0,165.23,158.04,18.18,17.39,7.13,6.82,22.99,21.99,48.3,46.19,213.53,204.23
2028,116.74,109.36,294.97,276.33,18.56,17.39,7.28,6.82,23.47,21.99,49.31,46.19,344.28,322.52
2029,119.19,109.36,280.35,257.23,18.95,17.39,7.43,6.82,23.96,21.99,50.35,46.19,330.7,303.43
2030,121.69,109.36,255.29,229.42,19.35,17.39,7.59,6.82,24.47,21.99,51.4,46.19,306.69,275.61
2031,124.25,109.36,264.69,232.98,19.75,17.39,7.75,6.82,24.98,21.99,52.48,46.19,317.18,279.17
2032,126.86,109.36,334.44,288.31,20.17,17.39,7.91,6.82,25.51,21.99,53.59,46.19,388.03,334.51
2033,129.52,109.36,337.9,285.3,20.59,17.39,8.08,6.82,26.04,21.99,54.71,46.19,392.61,331.5
2034,132.24,109.36,380.7,314.83,21.02,17.39,8.25,6.82,26.59,21.99,55.86,46.19,436.56,361.03
