year,transmission_nominal,transmission_real,substation_nominal,substation_real,primary_nominal,primary_real,transformer_nominal,transformer_real,secondary_nominal,secondary_real,distribution_nominal,distribution_real,local_total_nominal,local_total_real
2025,0.0,0.0,0.0,0.0,0.14,0.14,0.06,0.06,0.18,0.18,0.38,0.38,0.38,0.38
2026,0.0,0.0,1.56,1.53,0.14,0.14,0.06,0.06,0.18,0.18,0.38,0.38,1.95,1.9
2027,0.0,0.0,0.0,0.0,0.15,0.14,0.06,0.06,0.19,0.18,0.39,0.38,0.39,0.38
2028,17.42,16.32,22.91,21.46,0.15,0.14,0.06,0.06,0.19,0.18,0.4,0.38,23.31,21.83
2029,0.0,0.0,2.01,1.84,0.15,0.14,0.06,0.06,0.19,0.18,0.41,0.38,2.42,2.22
2030,0.0,0.0,2.23,2.0,0.16,0.14,0.06,0.06,0.2,0.18,0.42,0.38,2.64,2.38
2031,0.0,0.0,4.09,3.6,0.16,0.14,0.06,0.06,0.2,0.18,0.43,0.38,4.52,3.98
2032,0.0,0.0,29.23,25.2,0.16,0.14,0.06,0.06,0.21,0.18,0.44,0.38,29.67,25.58
2033,0.0,0.0,1.62,1.37,0.17,0.14,0.07,0.06,0.21,0.18,0.44,0.38,2.07,1.74
2034,0.0,0.0,27.03,22.35,0.17,0.14,0.07,0.06,0.22,0.18,0.45,0.38,27.48,22.73
