year,transmission_nominal,transmission_real,substation_nominal,substation_real,primary_nominal,primary_real,transformer_nominal,transformer_real,secondary_nominal,secondary_real,distribution_nominal,distribution_real,local_total_nominal,local_total_real
2025,0.0,0.0,0.0,0.0,17.39,17.39,6.82,6.82,21.99,21.99,46.19,46.19,46.19,46.19
2026,0.0,0.0,161.83,158.04,17.8,17.39,6.98,6.82,22.52,21.99,47.3,46.19,209.14,204.23
2027,0.0,0.0,0.0,0.0,18.18,17.39,7.13,6.82,22.99,21.99,48.3,46.19,48.3,46.19
2028,116.74,109.36,311.57,291.88,18.56,17.39,7.28,6.82,23.47,21.99,49.31,46.19,360.89,338.08
2029,0.0,0.0,150.55,138.14,18.95,17.39,7.43,6.82,23.96,21.99,50.35,46.19,200.9,184.33
2030,0.0,0.0,108.99,97.94,19.35,17.39,7.59,6.82,24.47,21.99,51.4,46.19,160.39,144.14
2031,0.0,0.0,299.31,263.45,19.75,17.39,7.75,6.82,24.98,21.99,52.48,46.19,351.79,309.64
2032,0.0,0.0,468.91,404.24,20.17,17.39,7.91,6.82,25.51,21.99,53.59,46.19,522.5,450.43
2033,0.0,0.0,237.23,200.3,20.59,17.39,8.08,6.82,26.04,21.99,54.71,46.19,291.94,246.5
2034,0.0,0.0,517.22,427.73,21.02,17.39,8.25,6.82,26.59,21.99,55.86,46.19,573.08,473.93
