fy,total_nominal,total_real,bulk_tx_nominal,bulk_tx_real,sub_tx_nominal,sub_tx_real,distribution_nominal,distribution_real,sub_tx_plus_dist_nominal,sub_tx_plus_dist_real
2026,3.6,3.6,0.0,0.0,3.05,3.05,0.55,0.55,3.6,3.6
2027,21.04,20.61,11.85,11.61,5.74,5.62,3.44,3.37,9.19,9.0
2028,23.04,22.1,12.1,11.61,7.02,6.74,3.92,3.76,10.94,10.49
2029,26.1,24.53,12.36,11.61,8.41,7.9,5.34,5.02,13.75,12.92
2030,33.64,30.96,12.62,11.61,14.21,13.08,6.82,6.27,21.03,19.35
2031,43.67,39.36,12.88,11.61,17.34,15.63,13.45,12.12,30.79,27.75
2032,48.75,43.03,13.15,11.61,19.86,17.53,15.74,13.9,35.6,31.43
2033,53.99,46.68,13.55,11.71,21.31,18.42,19.13,16.54,40.44,34.97
2034,60.8,51.48,13.83,11.71,23.3,19.73,23.67,20.04,46.96,39.77
2035,77.43,64.22,14.12,11.71,31.39,26.03,31.93,26.48,63.31,52.51
2036,153.47,124.68,16.23,13.19,89.39,72.61,47.86,38.88,137.24,111.49
