fy,total_nominal,total_real,bulk_tx_nominal,bulk_tx_real,sub_tx_nominal,sub_tx_real,distribution_nominal,distribution_real,sub_tx_plus_dist_nominal,sub_tx_plus_dist_real
2026,167.86,167.86,0.0,0.0,171.1,171.1,151.91,151.91,167.86,167.86
2027,105.49,103.32,78.42,76.81,187.16,183.31,195.52,191.5,190.21,186.3
2028,90.23,86.55,80.07,76.81,94.04,90.21,132.6,127.2,104.96,100.69
2029,89.43,84.03,81.75,76.81,91.32,85.8,109.74,103.1,97.69,91.78
2030,69.81,64.24,83.46,76.81,52.15,47.99,116.96,107.63,63.56,58.49
2031,70.82,63.83,85.22,76.81,50.47,45.49,110.35,99.46,66.15,59.62
2032,72.15,63.69,87.01,76.81,52.69,46.52,106.6,94.1,67.87,59.92
2033,76.57,66.2,87.88,75.98,55.11,47.65,116.46,100.69,73.41,63.47
2034,81.6,69.1,89.72,75.98,59.49,50.38,118.75,100.56,79.48,67.3
2035,89.16,73.95,91.61,75.98,68.46,56.78,124.78,103.49,88.63,73.51
2036,88.05,71.52,50.65,41.15,86.09,69.94,124.49,101.13,96.47,78.37
