fy,total_nominal,total_real,bulk_tx_nominal,bulk_tx_real,sub_tx_nominal,sub_tx_real,distribution_nominal,distribution_real,sub_tx_plus_dist_nominal,sub_tx_plus_dist_real
2026,3.6,3.6,0.0,0.0,3.05,3.05,0.55,0.55,3.6,3.6
2027,17.36,17.01,11.85,11.61,2.63,2.57,2.88,2.82,5.51,5.4
2028,1.56,1.49,0.0,0.0,1.16,1.11,0.4,0.38,1.56,1.49
2029,2.58,2.42,0.0,0.0,1.24,1.16,1.34,1.26,2.58,2.42
2030,6.99,6.43,0.0,0.0,5.63,5.18,1.36,1.25,6.99,6.43
2031,9.32,8.4,0.0,0.0,2.83,2.55,6.49,5.85,9.32,8.4
2032,4.16,3.68,0.0,0.0,2.15,1.9,2.01,1.78,4.16,3.68
2033,4.22,3.65,0.12,0.11,1.04,0.9,3.06,2.64,4.1,3.54
2034,5.67,4.8,0.0,0.0,1.54,1.31,4.13,3.5,5.67,4.8
2035,15.36,12.74,0.0,0.0,7.6,6.3,7.76,6.44,15.36,12.74
2036,74.41,60.45,1.81,1.47,57.34,46.58,15.26,12.4,72.6,58.98
