fy,total_nominal,total_real,bulk_tx_nominal,bulk_tx_real,sub_tx_nominal,sub_tx_real,distribution_nominal,distribution_real,sub_tx_plus_dist_nominal,sub_tx_plus_dist_real
2026,167.86,167.86,0.0,0.0,171.1,171.1,151.91,151.91,167.86,167.86
2027,97.55,95.54,78.42,76.81,204.46,200.26,205.96,201.73,205.25,201.02
2028,27.88,26.74,0.0,0.0,26.33,25.26,33.57,32.2,27.88,26.74
2029,70.64,66.37,0.0,0.0,71.16,66.85,70.18,65.94,70.64,66.37
2030,36.78,33.85,0.0,0.0,31.19,28.7,141.86,130.54,36.78,33.85
2031,69.22,62.39,0.0,0.0,39.84,35.91,102.04,91.97,69.22,62.39
2032,70.5,62.24,0.0,0.0,64.73,57.14,77.95,68.81,70.5,62.24
2033,143.22,123.83,40.21,34.76,105.5,91.22,184.31,159.35,155.0,134.02
2034,141.84,120.11,0.0,0.0,309.0,261.67,118.02,99.94,141.84,120.11
2035,124.5,103.26,0.0,0.0,113.73,94.33,137.22,113.81,124.5,103.26
2036,85.08,69.11,10.89,8.85,98.9,80.34,118.7,96.43,102.49,83.26
