bucket,label,fy,new_capacity_mw,cumulative_capacity_mw,annual_cost_m,diluted_per_kw_yr
total,All projects,2026,141.9,141.9,23.8,3.6
total,All projects,2027,1177.6,1319.5,139.2,21.04
total,All projects,2028,369.9,1689.4,152.4,23.04
total,All projects,2029,241.7,1931.0,172.7,26.1
total,All projects,2030,1257.6,3188.6,222.6,33.64
total,All projects,2031,890.8,4079.4,288.9,43.67
total,All projects,2032,390.7,4470.1,322.5,48.75
total,All projects,2033,194.8,4664.9,357.2,53.99
total,All projects,2034,264.6,4929.5,402.2,60.8
total,All projects,2035,816.3,5745.8,512.3,77.43
total,All projects,2036,5786.8,11532.5,1015.4,153.47
bulk_tx,Bulk TX (≥230kV),2026,0.0,0.0,0.0,0.0
bulk_tx,Bulk TX (≥230kV),2027,1000.0,1000.0,78.4,11.85
bulk_tx,Bulk TX (≥230kV),2028,0.0,1000.0,80.1,12.1
bulk_tx,Bulk TX (≥230kV),2029,0.0,1000.0,81.7,12.36
bulk_tx,Bulk TX (≥230kV),2030,0.0,1000.0,83.5,12.62
bulk_tx,Bulk TX (≥230kV),2031,0.0,1000.0,85.2,12.88
bulk_tx,Bulk TX (≥230kV),2032,0.0,1000.0,87.0,13.15
bulk_tx,Bulk TX (≥230kV),2033,0.0,1000.0,88.8,13.43
bulk_tx,Bulk TX (≥230kV),2034,0.0,1000.0,90.7,13.71
bulk_tx,Bulk TX (≥230kV),2035,0.0,1000.0,92.6,14.0
bulk_tx,Bulk TX (≥230kV),2036,1100.0,2100.0,106.5,16.1
sub_tx,Sub-TX (69–115kV),2026,118.0,118.0,20.2,3.05
sub_tx,Sub-TX (69–115kV),2027,85.0,203.0,38.0,5.74
sub_tx,Sub-TX (69–115kV),2028,291.0,494.0,46.5,7.02
sub_tx,Sub-TX (69–115kV),2029,115.0,609.0,55.6,8.41
sub_tx,Sub-TX (69–115kV),2030,1194.0,1803.0,94.0,14.21
sub_tx,Sub-TX (69–115kV),2031,470.0,2273.0,114.7,17.34
sub_tx,Sub-TX (69–115kV),2032,220.0,2493.0,131.4,19.86
sub_tx,Sub-TX (69–115kV),2033,85.0,2578.0,141.8,21.43
sub_tx,Sub-TX (69–115kV),2034,33.0,2611.0,155.0,23.42
sub_tx,Sub-TX (69–115kV),2035,442.0,3053.0,208.5,31.51
sub_tx,Sub-TX (69–115kV),2036,3836.1,6889.1,592.2,89.52
distribution,Distribution (≤13.2kV),2026,23.9,23.9,3.6,0.55
distribution,Distribution (≤13.2kV),2027,92.6,116.5,22.8,3.44
distribution,Distribution (≤13.2kV),2028,78.9,195.4,25.9,3.92
distribution,Distribution (≤13.2kV),2029,126.7,322.0,35.3,5.34
distribution,Distribution (≤13.2kV),2030,63.6,385.6,45.1,6.82
distribution,Distribution (≤13.2kV),2031,420.8,806.4,89.0,13.45
distribution,Distribution (≤13.2kV),2032,170.7,977.1,104.2,15.74
distribution,Distribution (≤13.2kV),2033,109.8,1086.9,126.6,19.13
distribution,Distribution (≤13.2kV),2034,231.6,1318.5,156.6,23.67
distribution,Distribution (≤13.2kV),2035,374.3,1692.8,211.2,31.93
distribution,Distribution (≤13.2kV),2036,850.7,2543.4,316.6,47.86
sub_tx_plus_dist,Sub-TX + Distribution (DRV-relevant),2026,141.9,141.9,23.8,3.6
sub_tx_plus_dist,Sub-TX + Distribution (DRV-relevant),2027,177.6,319.5,60.8,9.19
sub_tx_plus_dist,Sub-TX + Distribution (DRV-relevant),2028,369.9,689.4,72.4,10.94
sub_tx_plus_dist,Sub-TX + Distribution (DRV-relevant),2029,241.7,931.0,91.0,13.75
sub_tx_plus_dist,Sub-TX + Distribution (DRV-relevant),2030,1257.6,2188.6,139.1,21.03
sub_tx_plus_dist,Sub-TX + Distribution (DRV-relevant),2031,890.8,3079.4,203.7,30.79
sub_tx_plus_dist,Sub-TX + Distribution (DRV-relevant),2032,390.7,3470.1,235.5,35.6
sub_tx_plus_dist,Sub-TX + Distribution (DRV-relevant),2033,194.8,3664.9,268.4,40.56
sub_tx_plus_dist,Sub-TX + Distribution (DRV-relevant),2034,264.6,3929.5,311.5,47.09
sub_tx_plus_dist,Sub-TX + Distribution (DRV-relevant),2035,816.3,4745.8,419.7,63.44
sub_tx_plus_dist,Sub-TX + Distribution (DRV-relevant),2036,4686.8,9432.5,908.9,137.37
