year,upstream_nominal,upstream_real,dist_sub_nominal,dist_sub_real,primary_feeder_nominal,primary_feeder_real,total_nominal,total_real
2026,0.0,0.0,1.3712,1.3712,0.0,0.0,1.4112,1.4112
2027,0.0976,0.0957,5.7701,5.657,0.0,0.0,6.0408,5.9224
2028,1.1211,1.0776,11.3522,10.9113,2.0397,1.9605,14.9445,14.3642
2029,5.4441,5.1301,13.2217,12.4591,4.9095,4.6263,24.3395,22.9357
2030,20.4059,18.8519,21.9915,20.3168,10.2839,9.5007,54.5636,50.4083
2031,30.9513,28.0335,34.772,31.4941,12.154,11.0083,80.6979,73.0905
2032,48.1541,42.7594,61.1305,54.2822,16.5523,14.6979,130.3783,115.7722
2033,60.7764,52.9095,85.5536,74.4795,28.5234,24.8313,180.9979,157.5696
2034,81.9459,69.94,105.608,90.1354,38.3364,32.7198,233.8883,199.6214
2035,103.0184,86.2012,115.9191,96.9959,49.862,41.7223,278.3998,232.9525
