year,upstream_nominal,upstream_real,dist_sub_nominal,dist_sub_real,primary_feeder_nominal,primary_feeder_real,total_nominal,total_real
2026,0.0,0.0,15.0808,15.0808,0.0,0.0,15.5204,15.5204
2027,3.4492,3.3816,26.1404,25.6279,0.0,0.0,30.5563,29.9571
2028,12.8842,12.3839,29.5308,28.3841,20.1567,19.374,60.037,57.7057
2029,20.178,19.0142,28.1283,26.506,40.3829,38.0537,102.6408,96.7207
2030,33.6263,31.0655,33.7446,31.1748,44.8181,41.405,144.4132,133.4155
2031,39.5084,35.784,43.8875,39.7502,44.4703,40.2781,175.6705,159.1102
2032,45.2733,40.2014,51.3037,45.5562,43.6804,38.787,197.5255,175.397
2033,45.3633,39.4915,54.0864,47.0855,55.1797,48.0373,211.182,183.8466
2034,47.1566,40.2477,58.132,49.6151,59.7183,50.969,222.2556,189.693
2035,51.8654,43.3986,59.3436,49.6561,64.1043,53.6396,237.8794,199.0469
