year,upstream_nominal,upstream_real,dist_sub_nominal,dist_sub_real,primary_feeder_nominal,primary_feeder_real,total_nominal,total_real
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,0.0,0.0,3.4942,3.3585,0.3753,0.3607,3.9796,3.8251
2029,1.8476,1.7411,1.7319,1.632,0.0446,0.0421,3.7675,3.5502
2030,3.2549,3.007,1.8769,1.7339,0.1278,0.1181,5.4789,5.0617
2031,4.4663,4.0453,1.236,1.1195,0.0,0.0,5.9605,5.3986
2032,4.5603,4.0494,6.2108,5.515,3.3625,2.9858,14.6154,12.9781
2033,31.6781,27.5777,10.3196,8.9839,1.0544,0.9179,44.9517,39.1332
2034,35.3822,30.1984,4.9662,4.2386,8.8583,7.5605,51.3062,43.7893
2035,27.7894,23.2529,6.1411,5.1386,5.1378,4.2991,40.7426,34.0916
