year,upstream_nominal,upstream_real,dist_sub_nominal,dist_sub_real,primary_feeder_nominal,primary_feeder_real,total_nominal,total_real
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,0.0,0.0,81.48,78.316,22.1658,21.3051,66.5307,63.9472
2029,83.5844,78.7634,67.493,63.6002,100.9435,95.1213,78.1523,73.6447
2030,79.764,73.6896,60.2175,55.6316,70.512,65.1422,74.2538,68.599
2031,67.3498,61.0007,124.8122,113.0463,0.0,0.0,78.2032,70.8311
2032,128.9374,114.4927,176.442,156.6754,131.2436,116.5406,151.9455,134.9232
2033,132.6196,115.4534,231.5695,201.5952,69.8616,60.8187,150.5817,131.0904
2034,216.2436,184.5618,115.8052,98.8386,175.8439,150.0811,199.7267,170.4648
2035,160.2054,134.0527,101.6141,85.0261,194.2889,162.5723,156.4971,130.9498
