year,transmission_nominal,transmission_real,tx_local_nominal,tx_local_real,substation_nominal,substation_real,primary_nominal,primary_real,secondary_dist_nominal,secondary_dist_real,local_total_nominal,local_total_real
2025,3.88,3.88,0.0,0.0,7.28,7.28,0.34,0.34,1.72,1.72,9.34,9.34
2026,5.71,5.57,0.06,0.06,8.75,8.54,0.48,0.47,1.77,1.72,11.05,10.79
2027,5.83,5.57,0.16,0.15,10.55,10.09,0.86,0.82,1.8,1.72,13.37,12.79
2028,5.95,5.57,0.32,0.3,14.53,13.61,1.35,1.27,1.84,1.72,18.04,16.9
2029,6.07,5.57,0.92,0.85,16.75,15.37,1.95,1.79,1.88,1.72,21.5,19.73
2030,6.2,5.57,1.55,1.39,18.32,16.47,2.46,2.21,1.92,1.72,24.25,21.79
2031,6.33,5.57,3.3,2.9,21.2,18.66,2.51,2.21,1.96,1.72,28.97,25.5
2032,6.46,5.57,5.12,4.41,24.2,20.86,2.57,2.21,2.0,1.72,33.88,29.21
2033,6.6,5.57,5.22,4.41,26.01,21.96,2.62,2.21,2.04,1.72,35.9,30.31
2034,6.74,5.57,5.33,4.41,26.55,21.96,2.67,2.21,2.09,1.72,36.65,30.31
