year,transmission_nominal,transmission_real,tx_local_nominal,tx_local_real,substation_nominal,substation_real,primary_nominal,primary_real,secondary_dist_nominal,secondary_dist_real,local_total_nominal,local_total_real
2025,0.0,0.0,0.0,0.0,0.0,0.0,55.5,55.5,1.72,1.72,57.23,57.23
2026,22.18,21.66,0.0,0.0,0.0,0.0,41.74,40.77,1.77,1.72,43.51,42.49
2027,22.65,21.66,0.0,0.0,0.0,0.0,39.09,37.39,1.8,1.72,40.89,39.11
2028,23.12,21.66,0.0,0.0,27.55,25.81,38.5,36.07,1.84,1.72,67.89,63.6
2029,23.61,21.66,0.0,0.0,35.44,32.52,47.08,43.2,1.88,1.72,84.4,77.44
2030,24.1,21.66,12.18,10.95,36.19,32.52,48.98,44.01,1.92,1.72,99.26,89.2
2031,24.61,21.66,12.44,10.95,36.95,32.52,50.0,44.01,1.96,1.72,101.35,89.2
2032,25.13,21.66,32.64,28.14,37.72,32.52,51.05,44.01,2.0,1.72,123.41,106.39
2033,25.66,21.66,33.32,28.14,64.33,54.32,52.13,44.01,2.04,1.72,151.82,128.19
2034,26.19,21.66,34.02,28.14,65.68,54.32,53.22,44.01,2.09,1.72,155.01,128.19
