year,transmission_nominal,transmission_real,tx_local_nominal,tx_local_real,substation_nominal,substation_real,primary_nominal,primary_real,secondary_dist_nominal,secondary_dist_real,local_total_nominal,local_total_real
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,1.72,1.72,2.07,2.07
2026,5.71,5.57,0.0,0.0,0.0,0.0,0.12,0.12,1.77,1.72,1.89,1.85
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.36,1.8,1.72,2.18,2.08
2028,0.0,0.0,0.0,0.0,2.11,1.98,0.47,0.44,1.84,1.72,4.42,4.14
2029,0.0,0.0,0.0,0.0,6.93,6.36,0.57,0.53,1.88,1.72,9.38,8.61
2030,0.0,0.0,1.01,0.91,0.0,0.0,0.47,0.42,1.92,1.72,3.4,3.05
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,1.72,1.96,1.72
2032,0.0,0.0,4.07,3.5,0.0,0.0,0.0,0.0,2.0,1.72,6.07,5.23
2033,0.0,0.0,0.0,0.0,16.14,13.62,0.0,0.0,2.04,1.72,18.18,15.35
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,1.72,2.09,1.72
