year,transmission_nominal,transmission_real,tx_local_nominal,tx_local_real,substation_nominal,substation_real,primary_nominal,primary_real,secondary_dist_nominal,secondary_dist_real,local_total_nominal,local_total_real
2025,21.66,21.66,0.0,0.0,54.32,54.32,44.01,44.01,1.72,1.72,100.05,100.05
2026,22.18,21.66,28.81,28.14,55.62,54.32,45.07,44.01,1.77,1.72,131.26,128.19
2027,0.0,0.0,29.42,28.14,56.79,54.32,46.02,44.01,1.8,1.72,134.02,128.19
2028,0.0,0.0,30.03,28.14,57.98,54.32,46.98,44.01,1.84,1.72,136.84,128.19
2029,0.0,0.0,30.66,28.14,59.2,54.32,47.97,44.01,1.88,1.72,139.71,128.19
2030,0.0,0.0,31.31,28.14,60.44,54.32,48.98,44.01,1.92,1.72,142.64,128.19
2031,0.0,0.0,31.97,28.14,61.71,54.32,0.0,0.0,1.96,1.72,95.63,84.18
2032,0.0,0.0,32.64,28.14,63.01,54.32,0.0,0.0,2.0,1.72,97.64,84.18
2033,0.0,0.0,0.0,0.0,64.33,54.32,0.0,0.0,2.04,1.72,66.37,56.04
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,1.72,2.09,1.72
