year,upstream_nominal,upstream_real,dist_sub_nominal,dist_sub_real,primary_feeder_nominal,primary_feeder_real,total_nominal,total_real
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,2.1343,2.0925,0.0,0.0,0.0,0.0,2.2503,2.2062
2028,2.8297,2.7199,0.0,0.0,0.0,0.0,2.9835,2.8677
2029,2.8863,2.7199,3.3337,3.1414,0.3286,0.3097,6.8198,6.4264
2030,4.4417,4.1034,4.9352,4.5593,4.3012,3.9736,14.1754,13.0959
2031,7.1067,6.4368,7.0821,6.4145,5.3856,4.8779,20.31,18.3954
2032,11.771,10.4524,11.574,10.2774,9.8253,8.7246,34.4045,30.5502
2033,21.2374,18.4885,26.2135,22.8205,19.6025,17.0652,69.4936,60.4984
2034,45.5505,38.8769,52.0697,44.441,21.2959,18.1758,123.5441,105.4437
2035,53.91,45.1095,130.6083,109.2871,24.1386,20.1981,216.3192,181.0062
