year,upstream_nominal,upstream_real,dist_sub_nominal,dist_sub_real,primary_feeder_nominal,primary_feeder_real,total_nominal,total_real
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,54.6403,53.5689,0.0,0.0,0.0,0.0,57.6094,56.4798
2028,52.7791,50.7296,0.0,0.0,0.0,0.0,55.6471,53.4862
2029,53.8347,50.7296,83.2236,78.4234,47.4209,44.6858,67.7894,63.8795
2030,52.1841,48.21,78.2703,72.3097,31.3167,28.9318,49.6489,45.8679
2031,60.9404,55.1956,67.2187,60.882,32.7519,29.6644,52.5606,47.6058
2032,67.4252,59.8717,68.6682,60.9754,33.6829,29.9094,54.1949,48.1235
2033,76.0754,66.2282,89.6941,78.0841,43.6381,37.9896,68.0893,59.2758
2034,64.8953,55.3875,119.4534,101.9523,44.3593,37.8603,76.3615,65.1738
2035,66.0198,55.2425,143.7657,120.2967,44.6028,37.3217,95.4528,79.8706
