year,upstream_nominal,upstream_real,dist_sub_nominal,dist_sub_real,primary_feeder_nominal,primary_feeder_real,total_nominal,total_real
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,2.1343,2.0925,0.0,0.0,0.0,0.0,2.2503,2.2062
2028,0.6527,0.6274,0.0,0.0,0.0,0.0,0.6882,0.6615
2029,0.0,0.0,3.3337,3.1414,0.3286,0.3097,3.7766,3.5587
2030,1.4976,1.3836,1.5348,1.4179,3.966,3.6639,7.2193,6.6695
2031,2.5762,2.3333,2.0482,1.8551,0.9984,0.9043,5.8511,5.2995
2032,4.5222,4.0156,4.3503,3.863,4.332,3.8467,13.6883,12.1548
2033,9.231,8.0361,14.408,12.543,9.5807,8.3406,34.401,29.9481
2034,23.8883,20.3885,25.332,21.6206,1.3013,1.1107,52.6607,44.9454
2035,7.4485,6.2325,77.4971,64.8461,2.4168,2.0222,90.3042,75.5625
