year,upstream_nominal,upstream_real,dist_sub_nominal,dist_sub_real,primary_feeder_nominal,primary_feeder_real,total_nominal,total_real
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,54.6403,53.5689,33.7485,33.0867,0.0,0.0,92.4388,90.6263
2028,44.8505,43.1089,38.7838,37.2778,0.0,0.0,87.3136,83.9231
2029,0.0,0.0,32.9051,31.0072,47.4209,44.6858,82.4601,77.704
2030,47.5423,43.9218,20.8038,19.2195,21.6842,20.0329,93.774,86.6327
2031,33.1212,29.9989,33.2056,30.0754,17.148,15.5315,86.7287,78.5529
2032,54.0472,47.9924,39.0442,34.6701,28.762,25.5398,126.6959,112.5024
2033,59.1714,51.5122,57.4881,50.0469,29.5818,25.7527,202.8842,176.6229
2034,44.5576,38.0294,63.1823,53.9255,42.1538,35.9779,227.8906,194.5024
2035,33.7731,28.2598,32.8018,27.4471,39.5464,33.0906,154.18,129.011
